"Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
1298,16625,1036,4460,4479,928,6401,1437,834
1659,12866,982,5083,4437,814,7379,1483,735
1199,14464,1082,4997,4333,1025,5856,1466,669
1577,16068,932,4814,4595,1060,6504,1784,594
1336,14732,1050,4653,4338,921,7294,1810,655
1474,14541,955,5351,4356,1059,6981,1487,662
1269,13436,969,5140,3941,840,7161,1347,744
1264,14285,981,4871,4875,922,7774,1674,905
1417,15120,907,4726,5186,897,7966,1572,659
1266,14385,973,4379,4651,848,7327,1551,838
1144,15045,1053,5016,4857,1046,6546,1339,762
1282,14528,986,5034,4300,958,7645,1597,611
1312,14481,958,3964,4091,687,8038,1449,824
1429,15552,1038,4177,4199,911,8883,1940,793
1484,13702,944,4665,4529,852,6378,1557,708
1580,15547,1002,4161,4617,796,7533,1614,670
958,16891,1050,5235,3601,950,7788,1639,876
1432,15872,965,4569,4381,1044,7817,1548,536
1142,15425,1106,4618,3995,869,7391,1382,778
1223,13121,1052,4720,4714,1032,8153,1758,958
1398,13034,1045,4483,3885,760,6771,1563,702
1349,14777,1021,3615,3852,989,7209,1299,756
1109,15876,1017,5215,4319,863,7373,1650,616
1101,15595,936,3499,4281,781,7669,1677,468
1271,13986,1018,4083,4719,915,8286,1698,493
1361,16406,1019,4279,3364,970,7426,1706,792
1089,15704,956,5235,4841,706,7486,1416,786
1389,15381,1092,5144,4514,973,7872,1534,473
1195,16618,1119,4063,4133,1245,6525,1898,728
1320,15381,1083,4018,4545,1169,6588,1663,689
1177,13644,1023,4949,4878,796,7654,1599,623
1391,13483,979,4781,4378,904,7388,1604,678
961,12295,1052,4791,4187,1084,9241,1477,856
1632,15580,1036,3932,3893,986,7352,1451,691
1167,14551,1010,5029,4385,1096,8211,1386,654
1206,13341,1143,4601,4904,960,7734,1343,702
1575,14297,946,4953,4408,859,8094,1411,612
1100,15460,1061,4662,3635,633,7353,1632,757
1533,16009,902,4795,3836,955,8028,1538,742
1307,13499,1025,3562,4225,890,7693,1750,770
1384,15247,1042,4873,5194,1199,6841,1620,695
1410,15229,1035,5277,4283,652,7249,1610,761
1345,14847,1092,3981,4273,780,6995,1403,552
1361,14727,987,4275,4998,771,6092,1922,657
1422,13968,949,4862,4610,907,5843,1638,846
1506,15037,961,5302,4284,836,6584,1412,572
1212,16138,925,3787,4468,785,6982,1395,731
1212,13783,992,4973,5035,1070,7004,1595,491
1099,16457,877,4530,4319,849,7071,1728,604
1390,14249,983,3963,4409,591,9039,1515,562
1202,16659,971,4098,3929,818,7209,1354,774
1074,13326,946,4444,5018,823,7200,1655,697
1159,15422,957,4916,4703,829,8720,1482,719
1160,14288,1014,4635,4729,951,8762,1605,644
1323,17206,921,4281,4460,799,5927,1721,790
1239,13941,1027,5310,4122,874,6279,1608,658
1173,16223,1055,4994,4296,943,8014,1522,799
1128,13548,977,4285,4209,719,7902,1480,760
1106,15048,964,3976,4645,644,8148,1634,582
1275,15216,1022,4431,4810,888,8263,1568,864
1124,14421,978,4658,4172,869,6580,1863,541
1374,15355,1057,4634,4284,825,6980,1689,641
1294,14687,954,4575,4486,956,7207,1503,588
1294,15819,1118,3889,5167,1024,8211,1493,598
1545,18855,1036,4927,4428,834,6452,1717,664
1340,14114,975,4548,4471,762,8124,1632,860
1156,13878,948,3861,4159,994,7885,1669,835
1255,14622,958,5164,4091,931,6506,1792,766
1138,15455,971,4374,4597,994,7641,1500,651
990,13849,948,4117,4271,947,7707,1347,639
1242,13212,1071,3970,4231,757,6438,1516,610
1587,15182,1000,4811,4799,857,7100,1736,599
1392,15729,1082,3267,4216,895,6614,1478,450
1272,14533,979,4403,4902,880,7049,1575,773
1328,13326,1035,4977,4666,759,7303,1620,556
1404,16399,902,4876,4192,1110,7246,1402,788
1149,13583,1002,4291,4853,871,6231,1433,597
1443,13680,992,5026,4845,929,5803,1582,689
1382,13075,940,4704,4841,986,7731,1785,900
1480,11831,963,5067,4485,881,7661,1722,870
1333,16574,956,4494,4892,943,7569,1181,749
1059,14154,1012,4182,4927,929,7937,1710,534
1272,14008,1041,4639,4384,675,6236,1667,659
1486,14806,1005,4386,4248,876,7505,1826,553
1043,13803,973,4017,4053,958,8155,1417,590
1194,15133,993,4668,4169,857,7158,1387,583
1263,14925,952,4033,4522,854,7975,1419,786
1335,14874,1051,4629,4580,861,8024,1273,657
1517,16060,1013,4774,4514,854,8022,1599,550
1573,12786,970,4721,5007,1112,6079,1357,716
1218,15959,1132,5274,4739,688,7129,1837,651
1339,12973,988,5025,4367,703,8587,1738,652
1271,14062,1056,3581,3772,948,8214,1788,717
1350,15560,921,4171,4735,1006,7638,1663,619
1454,13937,1008,4912,4286,914,6469,1488,783
1240,15008,1054,4921,4439,956,7499,1464,700
1016,15552,961,4204,4343,973,6827,1589,735
1242,16222,950,5291,4134,916,6343,1408,531
1333,14164,989,4594,5169,994,6387,1393,580
1113,16150,971,4976,4410,1018,7739,1727,937
1311,14446,991,3789,4401,733,8923,1417,828
1218,13725,1098,5053,4415,911,6601,1521,642
1278,14125,996,4407,4113,1018,5818,1729,744
1257,14271,941,4186,4813,949,5862,1765,684
1278,15918,1027,4280,4684,777,7994,1429,593
1184,14473,1010,4405,4929,865,7626,1417,889
1320,15203,1041,3611,4418,768,6887,1444,648
1468,16509,1057,3978,4846,868,7719,1273,802
1689,12537,975,4086,4152,961,6824,1370,725
1162,14826,1033,4070,4308,1083,8150,1740,746
1294,14678,1095,4828,4368,906,6579,1645,561
1653,13837,1041,4664,4022,724,8778,1591,710
1463,15250,1015,5122,4882,806,6088,1510,897
1092,14504,962,5735,4989,723,8753,1485,723
1333,16530,1070,4934,4668,1025,7121,1615,724
1444,14072,1076,4377,4030,769,8144,1525,658
1311,14220,979,5196,4347,643,6903,1610,760
1076,14565,953,3943,4110,828,7227,1761,686
926,13796,1057,3588,4680,811,6843,1694,761
1262,14877,946,4927,3484,730,7505,1505,693
1554,14463,907,3907,4693,1024,6252,1684,603
1399,13264,1022,5047,3767,913,6494,1361,863
1159,14744,959,4228,4593,1085,7668,1641,709
1310,15088,972,4471,4059,802,8117,1480,632
1308,15161,980,3306,4889,802,7233,1445,609
1410,14595,1127,5050,4316,951,8014,1522,767
1312,13557,974,4221,4268,1025,5609,1369,717
889,15019,994,4142,4213,969,6512,1344,713
1362,15846,1046,4304,3870,892,8116,1508,744
1476,14656,969,4286,4112,975,7465,1600,815
950,14568,1004,5100,4442,994,8272,1593,613
1345,15258,913,4258,4617,943,8457,1717,647
1159,14424,1022,4626,4050,907,6902,1822,707
1492,15686,971,4351,4420,764,8252,1443,744
1050,16025,991,4267,4499,1099,7830,1566,761
1068,14271,991,4339,4821,1014,7336,1791,717
1214,13747,1083,4197,4735,771,6544,1664,703
1452,13613,880,5193,4129,1005,5775,1587,531
1079,14300,1049,4572,4336,902,7380,1744,689
1449,14303,1059,3862,3868,797,8025,1680,851
1155,16842,974,4953,4134,897,6525,1732,763
1259,14089,978,4864,4612,771,6698,1533,641
1435,14496,1049,3853,5170,850,7479,1678,756
1381,13916,967,4491,4848,864,6700,1434,486
1514,12884,998,4478,4243,714,6916,1874,651
1217,14006,909,3775,4469,951,8877,1733,579
1124,14453,1045,4934,4243,843,8172,1455,514
1291,15149,996,4412,5370,968,6617,1551,601
1166,15485,967,5546,4333,1008,5512,1465,588
1253,12879,1011,4981,4633,819,6332,1477,671
1357,16173,971,3991,4354,880,7236,1373,714
1387,14152,966,4768,4303,637,6326,1692,470
1348,16774,1059,4993,4283,1083,6948,1700,692
1103,15237,1021,4023,4524,1038,6804,1517,822
1184,13074,1062,3535,4305,908,7443,1823,663
1526,15005,979,4584,3882,1006,6026,1394,647
1289,18134,1057,4037,4747,878,6817,1456,671
1169,14307,985,4270,4273,698,6420,1497,522
1398,14581,1039,4108,4005,660,7484,1651,604
1449,14868,1012,3798,4253,987,7119,1535,765
1216,13942,1054,4142,4152,643,7514,1701,657
1265,15521,1024,5586,4365,1057,7619,1609,694
1209,16772,1110,5364,4615,984,6416,1399,583
1335,14475,971,4790,4819,900,8400,1623,646
1133,13089,954,3717,4261,455,7220,1762,854
1152,16608,1000,3803,4700,801,6884,1772,746
1330,13302,1032,4080,4494,711,7542,1867,679
1335,12408,995,5109,4428,1029,8572,1473,625
1290,15371,995,4201,4067,676,7635,1402,725
1374,15501,1026,4769,4179,1071,7569,1672,729
1117,15628,1002,4936,5114,922,8497,1549,643
1474,14766,1000,4541,4677,879,8648,1592,788
1129,13920,950,4360,4450,1033,7214,1484,682
1273,14400,931,4302,4068,884,6549,1620,679
1163,13329,1036,5012,4630,1017,6493,1699,702
1361,13760,869,4842,3944,986,8129,1338,632
1256,14969,963,4385,4036,930,9249,1772,858
1344,18568,889,4703,5126,857,6855,1599,806
1274,14959,967,4483,4512,862,7702,1428,616
1227,14895,968,5338,5248,712,7957,1330,807
1222,15303,1049,5126,3995,812,7214,1416,744
1268,15507,902,4395,4521,821,7417,1300,598
1585,13044,1079,4651,3867,933,7895,1911,500
1142,14063,1014,4471,4042,834,8149,1699,835
1361,14820,954,3851,4730,950,8071,1529,653
1067,14693,946,4628,4845,951,7864,1452,684
984,14973,948,4144,4715,852,7233,1723,809
1362,13238,933,4070,4437,1021,7786,1777,756
1321,14549,1015,4758,4129,847,8362,1355,773
1163,16057,989,5013,5008,949,5928,1456,698
1455,14105,968,4473,5286,950,7133,1171,883
1435,13936,937,4725,4608,990,8458,1778,648
1366,15259,1040,4998,4627,794,7785,1443,722
1190,12964,890,4605,4397,886,6997,1664,679
1685,14959,930,4708,5299,1084,6673,1578,796
1328,15456,904,3950,4614,804,5971,1449,815
1181,15292,1043,5084,4299,991,7050,1505,831
974,11925,959,4523,4560,830,6628,1496,582
1358,13843,1016,4356,4577,1009,8147,1564,664
1325,14713,1039,3817,4911,718,6462,1626,680
1411,16397,925,5079,4655,777,7020,1720,806
1579,12902,917,4151,4275,833,6218,1587,661
1017,15450,995,4199,3801,983,7639,1632,483
1376,13269,1018,4354,3828,900,7984,1675,738
1480,15785,1010,4874,4347,885,7913,1637,609
1350,11894,939,4026,4792,1033,7171,1622,564
1151,15248,1013,5062,4630,869,8041,1717,867
1447,12215,917,4052,4361,775,6413,1313,813
1245,15101,1044,4904,4286,701,6362,1362,820
1200,12751,1072,4695,4948,952,7617,1379,472
1026,11974,960,4854,4419,1008,8329,1433,717
1196,14680,974,5361,4831,823,7304,1777,571
1365,16691,977,3673,4229,880,7997,1868,610
1396,13573,1079,3914,4993,975,7171,1584,651
1200,14063,1014,5128,4357,1003,8344,1402,677
1309,12444,1016,4436,4736,815,6651,1735,638
1263,16563,979,4272,4853,896,7371,1748,691
1410,13684,1009,5178,4777,1123,6945,1384,651
1480,14823,986,3849,4147,841,6415,1528,780
1199,15245,1024,4848,3761,906,6944,1400,647
1164,14418,993,5009,5454,1014,6690,1585,881
1147,12924,947,4860,4336,846,8323,1838,631
1348,15026,1017,3988,4242,495,6883,1390,652
1367,15269,1017,4145,5357,961,7700,1563,690
1283,15010,999,4207,5171,980,7183,1491,745
1203,14670,992,4378,4503,938,6462,1675,727
998,13838,1067,4321,4345,1010,7369,1554,705
1115,15037,958,4793,4539,952,6835,1425,707
1428,17083,973,4655,4101,792,7053,1775,696
1309,14083,1085,4499,4370,846,7263,1552,573
1381,18006,1037,5215,4861,637,7591,1706,709
1155,13462,1019,4437,4202,825,6415,1271,591
1296,13483,920,4881,5285,1012,8363,1384,562
1161,15118,963,3884,4531,687,8276,1785,712
1369,16441,938,4819,3986,774,7265,1363,805
1126,13513,1061,4448,3984,915,8132,1473,883
1575,15198,1007,4745,3788,961,7135,1801,674
1181,15092,977,4739,4150,971,8179,1559,695
1103,14103,1047,5386,4055,1007,7203,1728,717
1427,13591,1012,4131,5200,727,6950,1648,804
1458,14766,962,4754,4631,925,8173,1490,697
1113,14761,973,3690,4114,1025,6109,1739,732
1411,13940,1097,4847,4045,948,7859,1469,669
1183,12943,989,4945,4267,955,5966,1422,815
1231,13402,923,4593,4829,855,7519,1294,811
1374,16039,1021,5063,3895,853,7529,1610,641
1143,16058,1031,4816,4401,822,6884,1748,753
1261,15861,1006,5195,5177,988,7266,1765,677
1345,15034,1034,4735,4628,717,6372,1765,535
1176,11236,974,4060,4908,947,7534,1888,925
1369,17153,965,4721,4315,859,7734,1613,661
1456,15444,927,3800,4443,1111,7662,1517,786
1491,15709,996,4874,4285,891,7514,1800,429
1311,13338,979,4463,4396,829,6583,1685,715
1180,13597,1007,4742,3576,997,7307,1868,764
1114,13897,1016,4208,4702,905,6812,1592,788
1110,15916,917,4945,4330,767,8146,1701,623
1360,14349,960,4430,4513,1000,7554,1544,576
1154,14019,994,4220,4147,915,7095,1383,777
985,11571,930,4358,3766,1154,7109,1490,627
1455,15288,1022,4622,4203,740,7369,1617,754
1256,15294,968,4640,4859,999,6304,1515,765
994,13658,1062,4276,4760,1101,6959,1496,729
1202,12443,965,5086,4903,910,8390,1421,646
1305,15260,959,4965,4679,912,7719,1578,723
1398,15497,1088,3649,4024,896,7598,1566,790
1329,14287,1082,4418,4218,755,7132,1509,701
1149,15250,1017,3756,5181,893,5439,1592,609
1282,15972,1065,4359,4269,1074,7459,1596,593
1399,14731,1022,5340,4834,1061,7248,1653,733
1305,14481,1044,4656,4369,901,8478,1444,679
1266,14354,974,3864,4744,957,9069,1441,665
1249,13731,1016,4584,4448,959,7045,1391,658
1190,13180,1016,4475,4712,914,6634,1405,589
969,15525,972,4552,4226,1060,7408,1598,588
1393,13431,1039,4886,4347,958,6702,1523,734
1353,15292,869,4564,4681,828,5495,1900,505
1219,15956,1009,4813,4462,773,6901,1698,626
1254,15145,1040,5066,4186,584,7413,1853,607
