"China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
4193,1545,4123,1729,2728
3164,1460,4057,1666,2784
3012,1284,3918,1841,1985
3987,378,4324,1960,2759
3696,1416,4334,1985,2511
4123,1350,4816,1740,2517
3541,1056,4152,1899,2626
3633,1404,4213,2159,2831
4035,1522,4658,2161,3075
3827,1313,3402,1739,2501
3286,643,4466,1835,2610
4222,1522,4200,1312,2954
3349,1191,4237,1554,2604
3810,1262,4237,1752,2419
3634,1029,4010,1236,2728
3701,668,4197,1332,2716
3989,1297,3662,2146,2916
4004,1753,4262,954,3139
3510,1105,3852,2838,2803
3152,642,4039,2105,2615
3530,955,3851,1590,2535
3451,1387,4555,1496,2472
4063,1152,3573,1819,2939
3386,1090,3296,2063,2701
3943,1341,4378,1968,2409
4585,1130,3697,2064,2599
4186,1662,4710,1917,1863
2902,1040,4564,959,3383
4057,964,3525,1773,2828
3993,1363,4334,2009,2517
3556,1113,5033,1629,2510
3641,2121,3980,2096,2344
2718,628,4128,1886,2494
3714,266,3902,2442,2455
3971,1371,3934,2066,3587
3556,1089,3854,898,2033
2810,1389,4397,1747,2565
4059,449,4126,2000,2714
3782,1262,5009,1153,2807
3397,1179,4168,868,1599
3997,1882,4539,1715,2789
3965,1158,4076,1609,2715
2762,1062,4329,1687,2820
3083,1338,3838,1712,2578
4126,1283,4129,1440,2421
3612,1521,3741,1848,2936
3592,1360,4208,2094,2649
3632,1489,4015,2130,3063
3800,668,4007,1795,2748
3729,1380,4214,2162,2535
3462,1286,4373,1659,2710
3291,886,4137,1764,3461
4090,1192,4597,2381,2570
3726,1144,4657,2059,3332
4277,1440,5093,2382,2892
3020,1082,4142,1245,2670
3775,1175,5098,1799,2425
3427,733,3467,1502,2417
3455,1192,5187,1928,2284
4023,1433,4259,1361,2819
3694,823,4148,2017,2496
4210,1327,4359,1658,2783
2839,1665,4310,1807,2598
4248,675,4569,1738,2738
4278,501,5711,1736,2515
4208,1602,3659,2070,2893
3384,1362,3714,1816,2001
3580,1658,4264,1947,3182
3847,1254,4409,1123,2791
3508,1029,3914,1645,2624
3407,1000,3905,1163,3083
4820,375,4450,1688,2840
3352,1221,4600,1778,2097
3471,1180,3416,2002,2505
4177,1184,3911,2387,2709
3999,1231,3599,2119,1868
2745,1182,4019,1652,2438
3339,2085,4239,2005,2436
3548,1065,4363,1973,2503
3540,1079,4235,1899,2961
3944,1594,4320,1858,2665
3757,1125,4492,1979,2265
3422,1048,3709,2498,2388
3450,1246,3851,1644,3511
4385,1287,3916,1681,2639
3659,1660,4918,1896,3458
3453,1265,4230,1646,2066
3912,1059,4384,1324,2109
4121,1171,3561,972,2686
3629,882,4230,950,2523
4745,992,4687,2097,3034
3739,1101,4189,2012,2511
3486,966,4818,1776,2439
3244,1279,4932,1770,2740
3477,1619,3963,1921,2272
3775,1018,4051,1887,2385
2738,1060,4020,1858,2650
3750,1052,4296,1750,2791
3764,259,4206,986,2003
3777,1299,4250,1958,2208
3446,1458,3866,2848,2537
3691,1040,4608,1890,2404
3656,249,4202,1644,2580
3425,727,4012,1679,3323
3746,1029,4318,1816,3056
3708,1115,3656,2035,2609
3814,890,4155,1843,2571
3800,1167,4580,1653,2731
3186,903,3865,1600,2927
3882,1388,3981,1611,2493
3799,1208,4275,1886,2034
2800,1382,4361,1857,2860
4738,2207,4722,2764,3544
3145,1543,4603,2233,3116
3848,1457,4290,2097,2496
3824,631,4010,1625,2720
3211,1316,4710,2684,2633
3224,1266,3905,2014,2977
3564,1424,3946,1202,2608
