"Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
1314,15861,1087,4459,5526,1085,7515,1870,795
1401,13434,1068,4070,4753,1076,7567,1622,599
1193,14279,1104,4469,5056,1085,6847,1468,773
1360,15696,1011,4209,6160,1079,7139,1752,619
1397,17456,1062,4808,4748,1033,6757,2078,659
1278,14137,988,5255,5291,1189,7481,1506,689
1249,14717,1007,4179,5470,1031,7200,1509,742
1384,15714,1105,4775,5431,1020,7143,1641,415
1440,15929,1056,4171,5190,979,6966,1587,628
1109,16026,1024,5422,5249,995,6667,1975,451
1377,15592,1123,4910,4880,1017,7323,1791,697
1015,14078,996,5231,4774,894,7205,1676,687
1473,15329,1041,3928,5124,1001,6729,1510,611
1258,15143,974,4481,5228,1069,6325,1726,640
1244,16500,1054,4441,5236,931,7227,1550,775
1317,16528,1106,3834,4756,1115,7904,1507,713
1450,16135,1009,4429,5191,987,7250,1595,909
1202,14569,974,4793,5211,790,7129,1478,556
1402,15695,971,4091,4600,981,6725,1709,840
1492,16174,1106,4517,5197,897,6970,1834,771
1027,15147,1040,4336,4964,970,6630,1720,675
1288,14245,1040,3844,5057,970,5491,1844,732
1111,13073,1047,4907,5870,832,7426,1603,648
980,13052,1045,5129,5448,1012,6377,1799,674
1051,15611,995,4840,5223,909,6022,1708,664
1262,15360,971,4241,5843,912,6473,1652,670
1457,16879,1002,5649,4901,898,7698,1612,683
1437,16423,1145,4808,4908,941,8026,1480,558
885,14801,952,5156,4710,745,5663,1742,783
1123,14640,1082,4939,4934,888,6616,1521,777
1588,14272,1027,4721,5409,936,7125,1676,639
1218,15476,1025,3982,5280,970,5903,2001,803
1509,15159,988,4693,5573,1202,8240,1946,694
1349,14195,1038,5405,4927,660,7731,1730,609
1272,14242,1048,4731,4987,1021,6192,1507,805
1493,14787,1000,4568,5234,870,6921,1518,668
1335,12886,946,4615,5396,960,7297,1592,609
1267,17125,1102,5507,4669,1167,6317,1771,789
1434,13923,1096,4948,5275,971,7070,1891,643
888,15677,1021,4131,5840,935,8624,1775,840
1052,14669,985,4506,5562,766,6523,1611,561
1408,15593,1109,4691,4732,876,8425,1797,619
1528,14332,969,5125,5038,930,5643,1491,671
1408,15056,1084,4350,5215,954,6276,1664,611
1441,14365,1049,4125,4907,989,6556,1350,614
