"China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
4419,1628,4345,1822,2874
3178,1466,4074,1673,2796
3113,1328,4051,1903,2052
4102,389,4449,2017,2839
4019,1539,4712,2159,2730
4229,1384,4940,1785,2581
3770,1124,4421,2022,2796
3737,1444,4334,2221,2912
3982,1502,4597,2133,3034
4113,1411,3656,1869,2687
3456,677,4697,1929,2745
4178,1506,4156,1298,2923
3437,1223,4348,1595,2673
3606,1195,4011,1658,2290
4065,1151,4487,1383,3053
3825,690,4338,1377,2807
3985,1296,3659,2145,2913
3851,1686,4098,917,3019
3540,1114,3885,2862,2826
3343,681,4284,2232,2774
3830,1037,4179,1725,2751
3416,1373,4509,1481,2447
3901,1105,3430,1746,2821
3339,1076,3251,2035,2664
4003,1362,4444,1998,2446
4593,1132,3703,2067,2603
4467,1774,5026,2045,1987
3004,1077,4725,993,3503
3831,910,3329,1675,2671
4000,1365,4342,2012,2522
3658,1145,5178,1676,2583
3750,2185,4100,2160,2415
3025,699,4594,2099,2776
3825,274,4019,2515,2528
3793,1310,3758,1973,3426
3668,1123,3974,926,2096
2695,1332,4217,1675,2460
4441,491,4515,2188,2970
3675,1226,4867,1121,2727
3887,1350,4770,993,1830
3802,1790,4317,1631,2653
4150,1211,4265,1684,2841
2798,1076,4386,1709,2857
3154,1369,3927,1751,2638
4168,1296,4170,1455,2445
3910,1647,4049,2000,3179
3894,1474,4561,2270,2872
3656,1499,4041,2143,3082
3703,651,3904,1749,2677
3812,1410,4307,2210,2591
3672,1364,4638,1759,2874
3247,875,4082,1741,3415
4135,1205,4648,2408,2599
3528,1083,4409,1949,3154
4260,1435,5072,2373,2880
3209,1150,4402,1323,2837
3641,1133,4918,1736,2340
3766,806,3810,1651,2657
3605,1244,5412,2012,2383
4015,1430,4251,1358,2813
4195,935,4709,2291,2834
4248,1339,4399,1673,2808
2625,1540,3985,1671,2403
4145,659,4458,1696,2671
4054,474,5412,1645,2383
4354,1657,3785,2141,2992
3672,1478,4030,1971,2172
3708,1717,4417,2017,3295
3960,1291,4538,1156,2872
3909,1146,4361,1833,2923
3963,1164,4543,1353,3586
4967,387,4587,1740,2927
3737,1361,5128,1982,2338
3460,1176,3405,1996,2497
4552,1290,4263,2602,2952
3930,1210,3537,2083,1835
2998,1291,4389,1805,2663
3636,2270,4615,2183,2653
3508,1052,4313,1951,2475
3863,1178,4623,2073,3232
3650,1475,3998,1719,2466
3948,1182,4720,2080,2380
4023,1232,4359,2936,2807
3272,1182,3652,1560,3330
4818,1415,4303,1847,2899
3888,1764,5226,2015,3675
3540,1297,4336,1687,2118
4001,1083,4483,1354,2157
3766,1070,3254,889,2455
4202,1021,4899,1100,2922
4712,985,4654,2082,3012
3788,1116,4244,2038,2544
3786,1050,5233,1929,2649
3243,1279,4930,1770,2738
3325,1549,3791,1837,2173
3696,996,3966,1848,2335
2743,1062,4027,1861,2655
3837,1076,4396,1791,2856
3902,269,4360,1022,2076
3578,1231,4026,1855,2092
3629,1536,4072,3000,2672
3840,1081,4793,1967,2500
4046,276,4650,1819,2855
3655,776,4281,1792,3546
4115,1131,4743,1995,3357
3678,1106,3626,2018,2587
4066,949,4430,1965,2740
3615,1110,4357,1572,2598
3360,952,4075,1687,3087
4126,1475,4231,1712,2650
4081,1298,4592,2026,2184
2813,1389,4382,1865,2873
4815,2243,4799,2809,3601
3011,1477,4407,2137,2983
3858,1461,4302,2102,2503
4135,682,4337,1757,2941
3351,1374,4915,2801,2748
3540,1390,4288,2212,3269
3946,1576,4368,1331,2887
3616,1641,3537,1550,2798
3795,1114,3885,1883,2884
3957,1324,4772,2168,2713
3601,956,3816,2140,2917
3027,1285,4047,1057,1797
2620,1712,3888,2315,2457
4117,1179,4869,2043,2912
3248,1739,4825,2169,2966
3071,1423,4495,1351,2905
3499,1291,4400,1692,3430
3943,1143,4136,1762,3161
3434,1280,4229,1773,2898
3671,1287,4058,1231,2815
3334,998,4222,2117,3624
3705,941,4005,2787,2933
3976,297,4433,2244,3102
4121,285,4560,2129,1805
2629,619,4115,1744,2402
3643,1710,4509,1759,2570
4001,966,5310,2069,2648
3837,1179,4451,1883,3510
3736,1217,5191,1900,2972
3637,787,4702,2041,1923
3801,1575,4051,1623,2717
3961,1244,4552,1858,3808
3927,1201,4438,2274,2665
4004,1481,4376,2117,2839
4224,1547,4393,1176,2976
3634,1009,3991,2021,1903
3636,1378,4337,1772,2799
3898,1125,4043,1851,2633
3747,903,3892,895,2438
3716,797,4416,1789,2869
3784,1367,3701,1949,2649
3421,2082,4091,1823,2497
4196,1975,4473,2448,2881
3920,1114,4371,2672,2709
3700,1417,4187,1768,2083
4672,461,4171,1313,2575
4277,1169,4062,2647,3169
2852,2146,4343,2076,3325
3404,1377,4271,1889,2368
2986,1262,4177,1430,2377
3967,2057,4108,2816,2831
3843,851,4303,1854,3195
4194,2259,4313,2155,3499
4659,662,4584,1321,2781
4145,1163,4967,1831,3267
4225,401,4590,2908,3111
4741,294,4810,1908,2659
4164,1265,4224,2327,2903
3311,1247,3856,1848,2664
3251,1385,3690,1785,2306
3950,1569,4435,1800,2837
4133,915,3580,1961,3147
2887,1404,4149,2562,2992
4473,1103,4281,2717,2853
3245,1011,3860,1760,2224
4043,693,4761,2427,3064
3932,1098,4079,2897,2895
5187,1151,4155,1567,3988
4411,992,4340,2096,2938
3869,1240,4356,1713,2640
3660,1206,4740,2056,2568
3511,815,3972,1747,2166
4552,974,4295,2028,2639
3973,1279,3646,1738,3028
3567,1104,4326,1863,2752
3917,1396,4255,1443,2841
4124,1348,4187,1664,2309
3391,976,3375,2538,2863
3134,1145,4415,1864,2681
3409,1721,4677,1718,2694
3844,1431,4280,1727,2551
3192,1362,4173,1030,2581
3941,655,4361,1331,2121
4444,1156,3897,1732,3240
3674,1553,4748,1885,3664
3815,754,4363,1983,2151
3676,940,4323,1966,2184
3700,1136,3444,1664,3406
4301,1430,5107,2100,3126
3232,1115,3998,1855,2590
3687,990,4281,2005,2524
3492,854,4055,1765,2751
4029,1123,5307,1575,2660
3241,1112,4358,2622,3201
4017,964,4553,1480,2644
3827,1278,3827,1745,2753
3438,948,3263,1887,2554
3626,1243,3303,902,2491
3631,1334,4090,1792,2693
4115,1387,3546,1405,2637
3520,1485,4248,1864,2718
3801,924,5077,1887,2023
3850,1378,4230,1547,2247
4024,1408,4787,2274,2666
3583,2071,4002,910,2346
