"Exporter","Year","Sales","Exports"
"Maaden",2013,837660,837660
"Maaden",2014,1096640,1096640
"Maaden",2015,1290660,1290660
"Maaden",2016,1311240,1311240
"Maaden",2017,1375920,1375920
"Mosaic",2013,3789170,1823290
"Mosaic",2014,3326120,1690990
"Mosaic",2015,3428040,1662080
"Mosaic",2016,3354050,1594950
"Mosaic",2017,3106110,1454810
"OCP",2013,1528000,1528000
"OCP",2014,1464000,1464000
"OCP",2015,1170000,1170000
"OCP",2016,1926000,1926000
"OCP",2017,2156000,2156000
"PhosAgro/EuroChem",2013,1951510,NA
"PhosAgro/EuroChem",2014,2071769,NA
"PhosAgro/EuroChem",2015,2134868,NA
"PhosAgro/EuroChem",2016,2384516,NA
"PhosAgro/EuroChem",2017,2540331,NA
