"Exporter","Year","Comtrade Reports","Sales Volume"
"China (export)",2013,"Import",2137685.0695
"China (export)",2014,"Import",2929396.35458
"China (export)",2015,"Import",3794377.91814
"China (export)",2016,"Import",3111172.68574
"China (export)",2017,"Import",3452947.84716
"PhosAgro/EuroChem",2013,"Import",1813592.85614
"PhosAgro/EuroChem",2014,"Import",1553287.83916
"PhosAgro/EuroChem",2015,"Import",1957115.75412
"PhosAgro/EuroChem",2016,"Import",1997845.2041
"PhosAgro/EuroChem",2017,"Import",2062771.18872
"PhosAgro/EuroChem",2013,"Export",1897630.08628
"PhosAgro/EuroChem",2014,"Export",1667902.04654
"PhosAgro/EuroChem",2015,"Export",1934940.16966
"PhosAgro/EuroChem",2016,"Export",1987658.77496
"PhosAgro/EuroChem",2017,"Export",2037811.56808
"OCP",2013,"Import",1535598.41406
"OCP",2014,"Import",1363908.65964
"OCP",2015,"Import",1075630.43804
"OCP",2016,"Import",1702662.65372
"OCP",2017,"Import",2078877.42776
"OCP",2013,"Export",1531326.96794
"OCP",2014,"Export",1519805.33356
"OCP",2015,"Export",1269004.71262
"OCP",2016,"Export",1913670.40766
"OCP",2017,"Export",2287759.45024
"Maaden",2013,"Import",712222.62852
"Maaden",2014,"Import",945485.04296
"Maaden",2015,"Import",1131056.6883
"Maaden",2016,"Import",1032168.95154
"Maaden",2017,"Import",1256915.25268
"Mosaic",2013,"Import",2279093.70188
"Mosaic",2014,"Import",2304784.3412
"Mosaic",2015,"Import",2091669.261
"Mosaic",2016,"Import",2005505.8736
"Mosaic",2017,"Import",2145853.26116
"Mosaic",2013,"Export",2473839.02
"Mosaic",2014,"Export",1577600.90494
"Mosaic",2015,"Export",2162886.59392
"Mosaic",2016,"Export",2129554.48
"Mosaic",2017,"Export",1930214.36
