"simulation","iteration","South Asia","North America","Oceania","Western Asia","Latin America","Eastern Europe and Central Asia","Western and Central Europe","East Asia","Africa"
1,2376,0.913755,0.921409,0.977412,1,0.923943,0.99992,0.981199,0.900635,1
2,1919,0.897342,0.932389,0.970653,0.997347,0.905271,0.984424,0.968762,0.994892,0.972149
3,1260,0.938446,0.935226,0.967827,0.999288,0.905788,0.994415,0.986407,0.946681,0.979881
4,3031,0.936142,0.922406,0.989665,1,0.919294,0.998893,0.960952,0.919163,1
5,3728,0.89168,0.936775,0.984452,0.988285,0.915763,0.987605,0.973905,0.943951,0.998668
6,3771,0.89017,0.93338,0.982884,1,0.908072,0.989123,0.971193,0.970596,0.959665
7,3576,0.896003,0.943065,0.971676,0.986943,0.896576,0.992194,0.981749,0.968692,0.978104
8,4128,0.8967,0.923704,0.993422,0.997896,0.914303,0.991185,0.970307,0.967058,0.964635
9,7651,0.878648,0.938153,0.984161,0.994486,0.914798,0.980702,0.986606,0.943095,0.977607
10,3980,0.896681,0.936717,0.987161,1,0.91877,1,0.975675,0.942818,0.989287
11,3115,0.919393,0.936916,0.981797,0.981553,0.914584,0.982775,0.98408,0.967127,0.983047
12,4540,0.882515,0.933516,0.997401,1,0.90918,0.96868,0.979048,0.949731,0.990688
13,5373,0.87641,0.948497,1,1,0.929896,0.99433,0.992794,0.917942,0.978913
14,4625,0.854016,0.949386,0.99815,0.999897,0.938004,1,0.985715,0.934407,0.994168
15,4467,0.903501,0.929694,0.953646,1,0.923662,0.998133,0.976622,0.935179,0.994859
16,2361,0.896962,0.928465,0.991604,1,0.941578,0.990832,1,0.914446,1
17,3613,0.890813,0.964476,0.997358,0.998128,0.909639,0.992408,0.952909,0.933236,0.996691
18,4424,0.894875,0.942642,0.973011,1,0.917147,1,0.98813,0.920318,0.994235
19,4207,0.892007,0.951316,0.972348,0.984362,0.920803,0.997248,0.98913,0.928758,0.975753
20,4893,0.89434,0.923879,0.972421,0.984836,0.922926,1,0.981269,0.978628,1
21,2823,0.898636,0.933415,0.950685,0.98912,0.912547,1,0.978806,0.963735,0.975922
22,4614,0.897095,0.930651,0.990679,1,0.943155,0.987438,0.984943,0.89523,0.987696
23,2416,0.908092,0.936327,0.973868,0.995583,0.911799,1,0.975498,0.951706,0.987644
24,2043,0.866915,0.967145,1,1,0.958536,1,0.99664,0.862638,1
25,4353,0.85585,0.932162,0.994324,0.998821,0.930407,1,0.985303,0.933039,0.985193
26,3281,0.886826,0.970635,0.955899,1,0.928302,1,0.978298,0.885513,0.999357
27,5911,0.903948,0.916324,0.984798,0.989639,0.915853,0.980612,0.977106,0.956645,1
28,3921,0.89448,0.95296,0.977353,0.965287,0.918326,0.995648,0.98452,0.96057,0.993667
29,3906,0.901823,0.950565,0.99555,1,0.94257,1,0.971032,0.888152,1
30,6947,0.882543,0.936252,0.982883,1,0.930903,0.994075,0.991716,0.896368,0.995392
31,2830,0.883196,0.918251,0.978675,1,0.909006,0.99147,0.984068,0.962661,0.991883
32,3731,0.888833,0.927303,0.956584,1,0.906227,0.994548,0.97485,0.949784,0.985416
33,1632,0.886434,0.911195,0.99527,1,0.925356,0.978689,0.980692,0.992627,1
34,2863,0.889257,0.950647,1,1,0.934698,1,0.979701,0.896151,1
35,6196,0.888981,0.94161,0.976046,0.990851,0.902825,0.976553,0.977487,0.961589,0.985863
36,6700,0.886765,0.931541,0.955168,1,0.930178,1,0.98013,0.980047,1
37,3062,0.90693,0.935648,0.991737,0.989073,0.912125,0.984605,0.975966,0.962697,0.993837
38,3625,0.895379,0.936462,0.997355,1,0.919957,0.995922,0.975367,0.931612,0.980189
39,3679,0.898012,0.951693,0.996792,1,0.915541,1,0.972847,0.936929,0.962778
40,6010,0.861842,0.954206,0.994729,1,0.955272,1,1,0.912474,0.998618
41,3839,0.896469,0.924767,0.988109,0.974144,0.910277,0.986586,0.972569,0.959076,0.988712
42,6438,0.898816,0.930438,0.987602,1,0.918866,1,0.963233,0.949555,0.990988
43,2920,0.889985,0.940626,0.988006,1,0.936798,0.994669,0.996059,0.900533,0.994443
44,4219,0.920117,0.9304,0.995306,0.996563,0.930344,0.990388,0.966499,0.935569,0.984241
45,3921,0.920388,0.924839,0.974918,0.988386,0.906007,1,0.971779,0.951805,0.979626
46,2112,0.91215,0.937497,0.964296,0.988217,0.896778,0.98945,0.977092,0.960048,0.98745
47,4161,0.89869,0.925514,1,1,0.943525,1,0.981687,0.878072,0.990885
48,1589,0.902835,0.920066,0.93503,0.982077,0.900678,0.992836,0.983515,0.972397,0.974609
49,4379,0.911574,0.947168,0.975009,1,0.930783,1,0.984334,0.922897,0.979059
50,2644,0.860167,0.934906,0.974142,1,0.934007,0.996894,0.991145,0.916978,1
