"simulation","iteration","China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
1,2376,0.857272,0.879194,0.842818,0.881274,0.859459
2,1919,0.877561,0.853688,0.872989,0.878605,0.870111
3,1260,0.882676,0.889829,0.870451,0.883987,0.8902
4,3031,0.879667,0.853248,0.880009,0.907087,0.877795
5,3728,0.854658,0.844274,0.873549,0.871782,0.886678
6,3771,0.832203,0.861092,0.85903,0.867303,0.888922
7,3576,0.836141,0.885614,0.852383,0.871524,0.880305
8,4128,0.841789,0.871135,0.852068,0.896088,0.876035
9,7651,0.84039,0.807334,0.86671,0.847022,0.898153
10,3980,0.851262,0.863825,0.891021,0.900188,0.871583
11,3115,0.876929,0.882308,0.865736,0.902983,0.897115
12,4540,0.820985,0.857936,0.864053,0.86381,0.890068
13,5373,0.807954,0.859708,0.839096,0.875209,0.879483
14,4625,0.784775,0.825934,0.828246,0.859154,0.831072
15,4467,0.871478,0.839513,0.867888,0.910796,0.887131
16,2361,0.840725,0.881716,0.856903,0.873667,0.871908
17,3613,0.848902,0.857854,0.856494,0.886606,0.895712
18,4424,0.837831,0.867938,0.875642,0.906247,0.873703
19,4207,0.849343,0.868441,0.850297,0.891898,0.894023
20,4893,0.836133,0.888759,0.866979,0.879747,0.904495
21,2823,0.84617,0.876579,0.871853,0.883416,0.886953
22,4614,0.829208,0.872085,0.857544,0.873233,0.892162
23,2416,0.86687,0.883432,0.868999,0.886535,0.896314
24,2043,0.802094,0.842114,0.815786,0.824062,0.816869
25,4353,0.795991,0.825167,0.857468,0.822178,0.835833
26,3281,0.82973,0.858934,0.858559,0.829676,0.875975
27,5911,0.870274,0.860514,0.832623,0.884926,0.911719
28,3921,0.851532,0.854686,0.878948,0.905973,0.874518
29,3906,0.826271,0.877598,0.876026,0.867205,0.852494
30,6947,0.803407,0.850806,0.873464,0.844607,0.894256
31,2830,0.854773,0.862532,0.843849,0.839584,0.879317
32,3731,0.849098,0.83974,0.858427,0.887062,0.868207
33,1632,0.875862,0.868406,0.85291,0.861117,0.851519
34,2863,0.837989,0.886466,0.87421,0.868055,0.852981
35,6196,0.844621,0.813065,0.871829,0.87647,0.880712
36,6700,0.797239,0.86631,0.872628,0.893638,0.883425
37,3062,0.86193,0.893123,0.866882,0.89891,0.891482
38,3625,0.830766,0.895352,0.877166,0.879123,0.871573
39,3679,0.874172,0.860582,0.852731,0.896134,0.896317
40,6010,0.77515,0.840385,0.831744,0.894041,0.873391
41,3839,0.872398,0.867332,0.846095,0.886232,0.895734
42,6438,0.81371,0.909161,0.87386,0.898256,0.89615
43,2920,0.838352,0.870903,0.859618,0.85372,0.874532
44,4219,0.862587,0.898938,0.886784,0.904415,0.917938
45,3921,0.860351,0.900756,0.848623,0.892738,0.895591
46,2112,0.859128,0.886036,0.864005,0.869732,0.879734
47,4161,0.810504,0.847651,0.854625,0.874475,0.850671
48,1589,0.867681,0.895008,0.86179,0.874927,0.867736
49,4379,0.843475,0.893723,0.893803,0.9039,0.905792
50,2644,0.817798,0.814011,0.834664,0.839459,0.846435
51,1849,0.835765,0.862214,0.837548,0.835657,0.859729
52,5627,0.820737,0.872666,0.812353,0.883267,0.853196
53,6011,0.805819,0.842933,0.847277,0.860436,0.883234
54,5765,0.796655,0.795649,0.850799,0.830687,0.847835
55,1896,0.832719,0.856792,0.856257,0.845196,0.845036
56,2986,0.871385,0.893605,0.850904,0.88944,0.87689
57,5668,0.848074,0.810503,0.869218,0.874779,0.881237
58,4331,0.830582,0.847292,0.877914,0.891625,0.857604
59,3110,0.816856,0.835987,0.838517,0.87716,0.835197
60,3194,0.873882,0.844224,0.852101,0.877664,0.862196
61,3157,0.846305,0.882548,0.878345,0.890984,0.896211
62,2932,0.85157,0.864763,0.856538,0.891501,0.8703
63,3492,0.84869,0.838207,0.878676,0.855117,0.878924
64,3527,0.803201,0.852977,0.848005,0.847875,0.838966
65,2612,0.851401,0.901503,0.864304,0.878887,0.857853
66,2946,0.847906,0.859339,0.855645,0.875794,0.885027
67,2535,0.835552,0.846008,0.861128,0.846404,0.821167
68,1566,0.872883,0.882666,0.870334,0.884744,0.892365
69,4587,0.844458,0.891107,0.869886,0.904102,0.885802
70,3532,0.821945,0.854057,0.839925,0.867184,0.861324
71,4303,0.827367,0.858898,0.865706,0.902684,0.859231
72,2275,0.867272,0.865759,0.876589,0.89334,0.886305
73,3113,0.784813,0.841984,0.808274,0.80369,0.816075
74,4853,0.839163,0.868669,0.865561,0.88382,0.908348
75,7839,0.846134,0.790357,0.850829,0.881726,0.882823
76,2229,0.867429,0.887915,0.892325,0.892821,0.897988
77,3595,0.8596,0.862864,0.865951,0.896619,0.898383
78,1773,0.869988,0.86973,0.85001,0.876961,0.871188
79,5512,0.824235,0.908293,0.855987,0.888262,0.866828
80,1954,0.855092,0.875086,0.852317,0.877803,0.871196
81,3735,0.854824,0.865705,0.835233,0.876069,0.87961
82,4000,0.864203,0.852376,0.844117,0.911371,0.838711
83,3084,0.859865,0.900292,0.872068,0.889766,0.895
84,4535,0.840778,0.853724,0.898367,0.881252,0.884331
85,3826,0.819161,0.832643,0.85378,0.866691,0.827959
86,5624,0.841154,0.811272,0.859941,0.875408,0.884954
87,5210,0.806066,0.884914,0.82115,0.858041,0.863568
88,4387,0.849265,0.853637,0.871205,0.868013,0.908915
89,7833,0.833689,0.820091,0.885973,0.915456,0.897514
90,4151,0.885959,0.874887,0.836194,0.89368,0.89435
91,3010,0.861807,0.90051,0.852202,0.871385,0.882414
92,2770,0.828329,0.8462,0.832618,0.867645,0.835698
93,5892,0.831201,0.801039,0.841622,0.878477,0.872885
94,5002,0.826673,0.894459,0.841728,0.881263,0.866925
95,2588,0.856912,0.889251,0.868089,0.890273,0.888599
96,3372,0.851801,0.889944,0.877176,0.888925,0.895765
97,3325,0.862348,0.848867,0.882541,0.890028,0.883122
98,2246,0.870562,0.89767,0.867727,0.891352,0.889624
99,2527,0.874589,0.905654,0.866247,0.903267,0.895262
100,2025,0.867934,0.870495,0.872724,0.880382,0.89406
101,4475,0.793507,0.791335,0.827303,0.84226,0.833492
102,4280,0.8316,0.892138,0.862835,0.877785,0.88077
103,1955,0.86549,0.888045,0.877819,0.887548,0.893245
104,2056,0.87644,0.888044,0.861351,0.893861,0.87572
105,4229,0.810821,0.86514,0.847788,0.867088,0.857188
106,6932,0.825561,0.85328,0.874178,0.83529,0.905402
