"simulation","iteration","South Asia","North America","Oceania","Western Asia","Latin America","Eastern Europe and Central Asia","Western and Central Europe","East Asia","Africa"
1,7855,0.896108,0.896766,0.95943,1,0.940929,1,0.987168,0.931059,0.993597
2,4305,0.876679,0.928407,0.986654,1,0.920511,1,0.986232,0.93324,0.997836
3,3369,0.91804,0.916166,0.985995,0.997161,0.921045,1,0.994431,0.945057,0.978993
4,2722,0.902985,0.930967,0.992441,0.994952,0.936169,0.993056,0.9918,0.904138,1
5,2024,0.912546,0.940397,1,0.9959,0.920971,1,0.951373,0.908745,0.99115
6,3093,0.896969,0.91765,0.972867,0.995954,0.899667,0.995822,0.979822,0.962448,0.984344
7,4568,0.884083,0.901277,0.996739,0.994852,0.92424,1,0.988977,0.932029,0.996981
8,1170,0.907917,0.921094,0.98747,1,0.919514,0.983432,0.976934,0.935591,0.98892
9,2363,0.887366,0.920571,0.979444,1,0.930006,1,0.98092,0.9002,0.999657
10,1998,0.922555,0.933373,0.951385,0.985354,0.910221,1,0.965183,0.96174,0.991135
11,1955,0.908447,0.934539,0.987833,1,0.910798,0.989021,0.980651,0.941746,0.998114
12,1664,0.912682,0.924144,0.984681,0.989468,0.908278,0.988347,0.966818,0.955192,0.985748
13,2308,0.904942,0.923012,0.991237,0.998013,0.934714,0.987917,0.998911,0.900098,1
14,4189,0.912849,0.923407,0.988601,1,0.926637,1,0.955217,0.94702,1
15,2440,0.926511,0.930797,0.988038,1,0.928641,1,0.979003,0.907978,0.976179
16,3657,0.893063,0.95557,0.989995,1,0.951857,1,0.990614,0.882723,1
17,2496,0.905737,0.928251,0.982903,1,0.922449,0.996688,0.992633,0.912668,0.999435
18,3265,0.888589,0.924772,0.982099,0.999673,0.913438,1,0.974361,0.947333,1
19,5352,0.887394,0.952018,0.990544,0.995245,0.919679,0.986924,0.985222,0.898633,1
20,1990,0.90921,0.935135,0.990528,1,0.927871,0.999769,0.987833,0.910493,0.997407
21,2640,0.91109,0.923389,0.972089,1,0.923471,1,0.986442,0.917062,0.994796
22,5386,0.920924,0.912028,0.983194,1,0.93347,1,0.977891,0.900264,0.989134
23,4865,0.895282,0.923844,0.980365,1,0.917983,1,0.956787,0.976312,0.993373
24,1628,0.916179,0.925217,0.986119,0.994988,0.902523,0.982937,0.971731,0.972266,1
25,6333,0.887502,0.940631,0.924182,0.994895,0.912649,1,0.975772,0.929611,0.998595
26,5128,0.910309,0.915659,0.981463,0.988712,0.928659,1,0.976086,0.925182,0.996897
27,2850,0.901395,0.934721,0.999019,0.987543,0.902474,0.979082,0.981216,0.954756,0.984649
28,3725,0.904445,0.940845,0.999924,0.977622,0.931053,1,0.971958,0.939989,0.991089
29,3054,0.924542,0.923498,0.992494,1,0.905551,0.995175,0.962158,0.954003,0.992268
30,4429,0.89937,0.93149,0.980531,0.994962,0.906928,0.99006,0.959556,0.959693,0.987459
31,4670,0.896906,0.922445,0.965395,1,0.914422,0.982911,0.970556,0.967079,0.989918
32,4217,0.903159,0.9222,0.987015,0.980141,0.938513,1,0.992007,0.882781,0.99569
33,3305,0.90311,0.930732,0.974753,1,0.933982,1,0.9991,0.94968,0.979002
34,2262,0.908458,0.937467,0.940814,0.955451,0.902136,0.99033,0.976517,0.979864,0.989321
35,2868,0.907527,0.924228,0.996481,0.994051,0.909538,0.980422,0.975143,0.943416,0.970982
36,3451,0.914865,0.926469,0.991959,0.983135,0.92941,0.993605,0.995683,0.959497,0.987371
37,4196,0.899736,0.928555,0.958553,1,0.920081,0.97466,0.993574,0.970563,0.992451
38,2898,0.939518,0.924561,0.972579,0.972428,0.907287,0.992194,0.983759,0.946518,0.985773
39,3649,0.900754,0.918982,0.966793,0.998953,0.910687,0.993557,0.971276,0.973799,0.992591
40,4209,0.888173,0.923762,0.996552,1,0.946868,1,1,0.921724,1
41,5824,0.895377,0.933021,0.965669,1,0.920022,0.98242,0.981427,0.938181,0.978998
42,5327,0.883796,0.937146,0.993631,1,0.919541,0.994191,0.972535,0.943363,0.995338
43,1562,0.922859,0.932936,0.93358,0.996193,0.904022,0.996921,0.968287,0.961402,0.984438
44,4606,0.903599,0.925938,0.990715,1,0.926566,1,0.984816,0.920722,0.997023
45,3027,0.911063,0.934936,0.983925,1,0.917194,1,0.966183,0.917872,0.986552
