"simulation","iteration","China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
1,7855,0.847439,0.824585,0.813652,0.91271,0.882036
2,4305,0.82585,0.847541,0.849564,0.886064,0.860354
3,3369,0.892292,0.898026,0.853063,0.876633,0.898054
4,2722,0.851967,0.89804,0.872646,0.877079,0.886381
5,2024,0.872294,0.89362,0.884544,0.880144,0.89992
6,3093,0.850294,0.831279,0.858174,0.872613,0.879145
7,4568,0.848426,0.816516,0.84786,0.883166,0.840799
8,1170,0.869473,0.890779,0.878068,0.877524,0.884048
9,2363,0.839904,0.8408,0.850445,0.855031,0.871027
10,1998,0.888278,0.897785,0.874814,0.899995,0.886582
11,1955,0.88574,0.904417,0.870189,0.887884,0.884087
12,1664,0.872825,0.884014,0.876108,0.896241,0.884944
13,2308,0.862761,0.880531,0.856828,0.883198,0.887607
14,4189,0.850125,0.888367,0.871159,0.899007,0.910406
15,2440,0.866189,0.886159,0.889496,0.900483,0.891499
16,3657,0.830196,0.87442,0.837133,0.873414,0.867045
17,2496,0.853677,0.863227,0.86795,0.889847,0.867873
18,3265,0.855212,0.863141,0.870116,0.892731,0.835976
19,5352,0.809369,0.873723,0.859459,0.884422,0.86859
20,1990,0.8647,0.888367,0.88367,0.889548,0.8877
21,2640,0.864883,0.887617,0.87677,0.89997,0.89178
22,5386,0.832227,0.897337,0.846889,0.898583,0.883428
23,4865,0.831394,0.874798,0.875565,0.896432,0.893529
24,1628,0.873944,0.889374,0.865019,0.867581,0.883827
25,6333,0.802123,0.90144,0.879075,0.860384,0.893499
26,5128,0.838541,0.904157,0.873689,0.899984,0.88891
27,2850,0.851811,0.871453,0.86368,0.89036,0.887295
28,3725,0.85687,0.890903,0.875044,0.919222,0.897095
29,3054,0.875808,0.899794,0.854023,0.868048,0.891328
30,4429,0.836254,0.876068,0.867853,0.901205,0.882147
31,4670,0.840665,0.877785,0.855615,0.894098,0.889231
32,4217,0.800835,0.847455,0.85452,0.885073,0.859294
33,3305,0.869863,0.867738,0.886161,0.856889,0.90166
34,2262,0.857587,0.902109,0.868797,0.880698,0.882903
35,2868,0.851641,0.858428,0.858288,0.886776,0.885435
36,3451,0.864405,0.905529,0.876521,0.909766,0.897461
37,4196,0.84959,0.886126,0.860955,0.883096,0.901448
38,2898,0.883568,0.908722,0.856751,0.892557,0.888327
39,3649,0.856648,0.88548,0.864192,0.906043,0.880379
40,4209,0.842264,0.837155,0.863155,0.915003,0.87063
41,5824,0.819208,0.881054,0.879509,0.906251,0.881937
42,5327,0.806318,0.872739,0.874268,0.872535,0.870013
43,1562,0.883673,0.890083,0.866907,0.884989,0.890447
44,4606,0.833388,0.872412,0.880906,0.87954,0.899285
45,3027,0.864504,0.888264,0.879676,0.903322,0.888688
46,4082,0.829646,0.851617,0.820711,0.863135,0.866198
47,3103,0.857327,0.874145,0.864926,0.883415,0.896991
48,3520,0.845655,0.857638,0.846534,0.884324,0.880091
49,4189,0.821078,0.824359,0.806065,0.868304,0.803003
50,3346,0.864356,0.864729,0.847827,0.896294,0.874647
51,2071,0.845968,0.852463,0.860742,0.845713,0.87437
52,2521,0.847716,0.887983,0.878104,0.874762,0.873697
53,4904,0.841879,0.86908,0.880774,0.912906,0.884994
54,4918,0.868756,0.829424,0.871775,0.897465,0.877841
55,5235,0.836968,0.815506,0.853736,0.877907,0.88727
