"Scenario","simulation","Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
"Business As Usual",1,1,0.775854668064178,0.996405431042261,0.360013948757323,0.342039446751506,0.0862815606188437,0.49398030235701,0.508071492674008,1
"Business As Usual",2,0.404345131057573,0.985898531754785,0.436829059706337,0.33913538272507,0.45954063915522,0,0.506560359661661,0.252009203193833,0.87135501840496
"Business As Usual",3,0.410597496699874,0.870555337185607,0.817741647984979,0.337950413898179,0.47541668012924,1.32194419274594e-05,0.630226841170992,0.674227577012342,0.962690105822291
"Business As Usual",4,1,0.809085303936253,0.954389400833969,0.36412913378781,0.359145899411989,0.629179820951553,0.627079935986552,0.168868967409353,1
"Business As Usual",5,0.961885973266948,0.859907504418199,0.56549448872023,0.3334594094523,0.463803293222683,0.378558936675504,0.453053008390935,0.468528149202282,0.339740708993587
"Business As Usual",6,-0.000734417529033752,0.925353905369034,0.57972143754849,0.366019962810457,0.435993819982155,0.403138769823486,0.419565135080934,0.285077812206002,1
"Business As Usual",7,0.396451523340784,0.918596068710058,0.719613751594501,0.298454112565119,0.495529178624574,0,0.493550667114884,0.527292765555399,0.388258605482548
"Business As Usual",8,0.000259421445978212,0.913117188120408,0.661203084470659,0.338337225604314,0.412316592234839,0.731515946108082,0.500540589788998,0.333578082360362,0.913161131116025
"Business As Usual",9,0.391951970123753,0.855031179979009,0.180528413645943,0.306072097080664,0.541523417321914,0.319548062660279,0.414002523223701,0.671168836251132,0.67676039407294
"Business As Usual",10,0.693879900915268,0.855812185328809,1,0.327142937078929,0.506731989589588,0.450532861330914,0.489018245666712,0.431171772460061,1
"Business As Usual",11,0.453783427915813,0.919460959261034,0.397573520087089,0.372589316932845,0.521971803178188,0.357373115345606,0.546229178490478,0.560484836486547,0.107450360312774
"Business As Usual",12,0.730611660810447,0.872148461580772,0,0.33238898337422,0.428599970313874,0.899055629946489,0.431774714207887,0.515333620766275,1
"Business As Usual",13,0.423716953861429,0.796926598229458,0.788272385722233,0.366091982664907,0.549261727222489,1,0.449118177158497,0.821898127804508,1
"Business As Usual",14,0.840452299991212,0.835790336245028,1,0.422033993399396,0.5302817704553,0.919601997454538,0.360120216818643,0.712858066963095,0.994163243711159
"Business As Usual",15,0.879481571188128,0.835166084905033,0.930255773686094,0.42947094680193,0.459347939461524,0.000450752631696878,0.472834561621279,0.476385464083793,1
"Business As Usual",16,1,0.793427495035144,0.655618748860125,0.472811695002972,0.418452189733593,0.602530958540017,0.486304420320475,1,1
"Business As Usual",17,0.864542609139043,0.845910750974072,0.717918108536179,0.326550110202961,0.614210136694139,0.890960671406191,0.453382032357474,0,0.916948720509629
"Business As Usual",18,0.845526459638479,0.808324809025295,1,0.30709558183203,0.499746480751061,0.0135671864389196,0.486624140718946,0.705848720754194,1
"Business As Usual",19,0.220589018444491,0.830458571533413,0.907939156501046,0.369549343849528,0.5521584645291,0,0.463395130023001,0.711277776434763,0.260503805921954
"Business As Usual",20,1,0.940048252017743,1,0.400261881631355,0.406533945572826,0.018824978256413,0.52360978756286,0.608810432301867,0.418669320242764
"Business As Usual",21,0.420083464005004,0.906337590285519,1,0.342813744318,0.423296276897608,0,0.496075606852754,0.54294984444365,0.478877684688152
"Business As Usual",22,0.681783586740219,0.752486883600793,0.570368705016643,0.451605942064373,0.3716163272744,0.671136430824118,0.501831586945003,0.595822860490029,1
"Business As Usual",23,0.575842470535954,0.88423724890339,1,0.356017761565726,0.439091218638098,0.000107474662864273,0.525489728157422,0.433736004342758,0.726027240031555
"Business As Usual",24,1,0.682668938473547,1,0.57291411274024,0.72347284163027,1,0.374546662126067,0.927871637267906,1
"Business As Usual",25,0.575398012109873,0.824992404085254,1,0.377311397071272,0.475735050501462,0.773366461038577,0.365199090152064,0.684014981661039,0.911865975162254
"Business As Usual",26,0.982296364818451,0.73936764120617,1,0.373803734082705,0.674014833951011,0.000108745888422552,0.430781529086991,0.524378090002598,1
"Business As Usual",27,1,0.894359846515472,0.223535981627104,0.384986544695143,0.339192621565792,0.175196295163491,0.509218211327812,0.381598825223278,0.494285358238396
"Business As Usual",28,0.82460651577498,0.901580832536547,0.845879238470335,0.389797966898523,0.599864357818375,0.105914003806514,0.485521287601625,0.611458567744315,0
"Business As Usual",29,1,0.747405162712976,1,0.469459490755552,0.550861115408339,0.865873525530714,0.435006923285284,0.426177334403059,1
"Business As Usual",30,0.872772799209523,0.754085481811393,0.799307092185872,0.372190918231587,0.488273657805231,0.465244476180244,0.349795999208975,0.817640794128152,1
"Business As Usual",31,0.74928773498531,0.900436447271466,0.695793908245495,0.331744351239371,0.39041429823398,0.025716435405868,0.44513781934802,0.637315566776252,1
"Business As Usual",32,0.626643009640909,0.867438828183588,0.800843209230414,0.300939830287013,0.409234557908493,0,0.464078177880412,0.441146670416645,1
"Business As Usual",33,1,0.978384874890585,0.271364005446001,0.439456751449597,0.237381466758714,0.841880402838166,0.558026197900153,0.528798650349115,0.998342981557581
"Business As Usual",34,1,0.756284640553132,1,0.392621431241607,0.536317351134721,1,0.448964489222725,0.488443429315382,1
"Business As Usual",35,0.545310690206327,0.900840591645185,0.129203627864223,0.274713076276064,0.500878765945709,0.17850660263129,0.492949102746034,0.390987668699463,0.475759016049258
"Business As Usual",36,1,0.945987513152916,1,0.453933577778436,0.498061480044344,0.000446390566956723,0.473483732350659,0.467374780201623,1
"Business As Usual",37,0.853992808097592,0.902888565939193,0.39430880851666,0.340521114071091,0.457080973748728,0.641620863961758,0.572777175685693,0.366970297667474,0.335740813267901
"Business As Usual",38,0.345071232266575,0.839406626474534,0.859549322681031,0.376390909167367,0.365437799407989,0.846180618693129,0.483210977016183,0.451667114908777,1
"Business As Usual",39,0.0685548699613617,0.848877032677149,1,0.323930347594619,0.516963610370166,0.870135494567539,0.512710401345291,0.32262841738064,1
"Business As Usual",40,0.962519205532988,0.774679448802404,1,0.56399646239105,0.623792515400648,0.793016526515853,0.376046524502795,1,1
"Business As Usual",41,0.688905695811945,0.897678821968719,0.508649684064544,0.297418778761073,0.448095389977403,0.621504932816092,0.423190134483264,0.353893730361497,0
"Business As Usual",42,0.760471506274102,0.875720231124184,1,0.423032316040469,0.39011195235935,0.283593464817137,0.47622628493854,0.142464203228791,1
"Business As Usual",43,0.8542647067716,0.76355708530387,0.828209116697965,0.439482964028261,0.509343816779824,0.457600939556848,0.445003556863947,0.899858933986551,1
"Business As Usual",44,0.585942150174432,0.843170407712938,0.651399950133765,0.416021642407973,0.501596680672269,0.780930328058287,0.530327535749558,0.375771661601025,0.812543435564058
"Business As Usual",45,0.497192878713594,0.879040936874872,1,0.321674707463549,0.428474542210552,0.0315396560498502,0.52216325432141,0.395885533291635,0.518268483482693
"Business As Usual",46,0.696240189252714,0.902747030484461,0.598561542428347,0.289092810012796,0.467428664741364,0,0.512748099542501,0.407310799513991,0.247954829263936
"Business As Usual",47,0.72637007874172,0.72454317709039,1,0.455673507852544,0.39224983883411,1,0.471479776494119,0.521078349590083,1
"Business As Usual",48,0.241793986919671,0.92745385295066,0.738944260415162,0.277488685877317,0.425923163404859,0.000205426462501781,0.497800974717794,0.62610011671282,0
"Business As Usual",49,0.284364227830692,0.82400297591378,1,0.426423280824116,0.540437311584718,0,0.530387906159314,0.658634875739569,1
