"Simulation","Scenario","Region","China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
1,"Business As Usual","Africa",0.150938917382889,0.169069044352825,0.262033731140833,0.126662573895243,0.225861122889768
1,"Business As Usual","East Asia",0.0298754626761142,0,0.0539061400911521,0,0
1,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.140361688744994
1,"Business As Usual","Latin America",0.0595992162262141,0.0625989037202017,0.0546876558883269,0.018988436705875,0.0455539570993037
1,"Business As Usual","North America",0.0782387822310628,NA,0,0.0872441027923181,0.0835217504455116
1,"Business As Usual","Oceania",0.101047892514884,0.220093742804754,0.16965526145797,0.119185998668371,0.114432415828342
1,"Business As Usual","South Asia",0,0.0147630210791667,0.0698925488769597,0.0534827996367766,0.0452426342517573
1,"Business As Usual","Western and Central Europe",0.108187730568981,NA,NA,0.0968125636059761,0.131155604607272
1,"Business As Usual","Western Asia",0.142974085922524,0.175205946907849,NA,0.130778615358994,0.154985167922539
2,"Business As Usual","Africa",0.0805148154497489,0.142642874254893,0.0853481056074359,0.149783553269816,0.12620745438455
2,"Business As Usual","East Asia",0.131477224728631,0.159212047781029,0.132538754570348,0.11116736880064,0.15948910311583
2,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.0987073263342069
2,"Business As Usual","Latin America",0,0.0515639520978658,0.00872909863387356,0,0.0183177565483424
2,"Business As Usual","North America",0.0400528384156713,NA,0.00650717286972038,0.0610423924201251,0.0709209426972234
2,"Business As Usual","Oceania",0.0820236982469136,0.21452759969167,0.0991768084131568,0.0883305026700635,0.092299146898392
2,"Business As Usual","South Asia",0.00981832394444927,0,0,0.0187903495334989,0
2,"Business As Usual","Western and Central Europe",0.0794492339263024,NA,NA,0.0812973747419232,0.0879606713796454
2,"Business As Usual","Western Asia",0.141691615325881,0.151407070253147,NA,0.11607384543506,0.149068000897698
3,"Business As Usual","Africa",0.077066115344195,0.124222794344348,0.187344638587504,0.128487011249995,0.160890535578206
3,"Business As Usual","East Asia",0.0573102827678189,0,0.0784690612158588,0.0526240880410101,0.0928185744331681
3,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.0985952246479083
3,"Business As Usual","Latin America",0,0.0206215050830794,0.00156135408649529,0,0
3,"Business As Usual","North America",0.116981137855804,NA,0,0.101659302686536,0.0617401871009373
3,"Business As Usual","Oceania",0.120347292244057,0.103614498164808,0.0959676145728845,0.114108560064509,0.04982600267735
3,"Business As Usual","South Asia",0.0335543376504311,0.0485930986991147,0.0562428813837435,0.0338203626616996,0.0411684281769336
3,"Business As Usual","Western and Central Europe",0.090701947341145,NA,NA,0.148636486258901,0.0956262275726533
3,"Business As Usual","Western Asia",0.115900697409453,0.128725658062217,NA,0.145388292513161,0.124226469746459
4,"Business As Usual","Africa",0.13005767451307,0.165037371639675,0.136290820825765,0.119071856288383,0.153839065361704
4,"Business As Usual","East Asia",0,0.0658989816401525,0.0588033612303571,0.0442869500292159,0
4,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.119977216451626
4,"Business As Usual","Latin America",0.00664357141962951,0.0692743029886575,0.00936742089041379,0,0.0358992891193625
4,"Business As Usual","North America",0.0257239636917107,NA,0,0.0270851370296219,0.0263831767796583
4,"Business As Usual","Oceania",0.0996344324564609,0.154464438791424,0.134045877927129,0.0827527754678,0.19027697242283
4,"Business As Usual","South Asia",0.0524059965957488,0,0.0144326430697104,0.0273184521426435,0.0518697797289289
4,"Business As Usual","Western and Central Europe",0.0799678507993222,NA,NA,0.0160886625380088,0.116472263728878
4,"Business As Usual","Western Asia",0.127204714375041,0.167888612800009,NA,0.125419139027132,0.157392536840526
5,"Business As Usual","Africa",0.14898510416647,0.187264123528138,0.123765054834967,0.126855826550356,0.117148945688574
5,"Business As Usual","East Asia",0.0659042118372341,0.116731973753995,0.0657211893548331,0.0567681188103102,0.044644030572221
5,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.0885257173654147
5,"Business As Usual","Latin America",0.0496097882709628,0.0714526903080438,0.00164340844561859,0.0283179149791814,0.0125474616397161
5,"Business As Usual","North America",0.110220318722528,NA,0,0.0979206862923289,0.0539612298494439
5,"Business As Usual","Oceania",0.139874110299189,0.167681209505309,0.120553011725566,0.157865057635369,0.0822164360726886
5,"Business As Usual","South Asia",0,0,0.0101018907881021,0,0
5,"Business As Usual","Western and Central Europe",0.102366349297036,NA,NA,0.0990899365089478,0.0809925707287451
5,"Business As Usual","Western Asia",0.121871588447384,0.22470481733029,NA,0.156182151803135,0.115669569071362
6,"Business As Usual","Africa",0.145645414012511,0.0965067394146227,0.0824289081357508,0.0907066746161212,0.0526586740512182
6,"Business As Usual","East Asia",0.138797357570895,0.182771512352314,0.104662664182542,0.0807537908701111,0.0980555955749321
6,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.0893138403639887
6,"Business As Usual","Latin America",0.0577652175990379,0.0414473482315857,0,0.0405769497392443,0
6,"Business As Usual","North America",0.0740098831555025,NA,0.0348754708791708,0.0896655444538562,0.121272888285224
6,"Business As Usual","Oceania",0.164760576069194,0.142655085287988,0.106708770174228,0.137506245467192,0.125506308835457
6,"Business As Usual","South Asia",0,0,0.0594614313118748,0,0.0232262474961269
6,"Business As Usual","Western and Central Europe",0.130344525676518,NA,NA,0.125280068620432,0.0620798960874463
6,"Business As Usual","Western Asia",0.17029712921819,0.148592625720638,NA,0.155728394675013,0.111804067449447
7,"Business As Usual","Africa",0.133894598187088,0.0807906937331122,0.132337951128565,0.10436868501094,0.109791013200315
7,"Business As Usual","East Asia",0.111259746310247,0.110629781824962,0.10627328007906,0.0971079612190478,0.0914043216696909
7,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.104092223384942
7,"Business As Usual","Latin America",0.0491427707570349,0,0,0,0.00429085192453645
7,"Business As Usual","North America",0.105748590392426,NA,0.0572320423354636,0.0557172738876086,0.0561562765841878
7,"Business As Usual","Oceania",0.157001228767973,0.0908690885056463,0.108640652615298,0.128507900287429,0.077897712867454
7,"Business As Usual","South Asia",0,0.00272276117197209,0.022771751130656,0.0305899097144728,0
7,"Business As Usual","Western and Central Europe",0.161746961136647,NA,NA,0.132650366953378,0.0831716481534457
7,"Business As Usual","Western Asia",0.170296423216648,0.127117734672337,NA,0.103971243969215,0.10502478672149
8,"Business As Usual","Africa",0.150047555470224,0.100623486542922,0.136160973367018,0.0348948444970232,0.153320466821973
8,"Business As Usual","East Asia",0.10027720945217,0.091311198672644,0.112562441033705,0.0699495418909876,0.0949022110268419
8,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.106299109900288
8,"Business As Usual","Latin America",0.0576959582616689,0.0359190374344343,0.0262931398602151,0,0.0286630083790924
8,"Business As Usual","North America",0.166825936111393,NA,0,0.0229569183016387,0.0858209613425378
8,"Business As Usual","Oceania",0.158974846289261,0.129623171273636,0.167403541349125,0.130896034282995,0.110794837402776
8,"Business As Usual","South Asia",0,0,0.0423723594050671,0.0329703246142097,0
8,"Business As Usual","Western and Central Europe",0.139359672207333,NA,NA,0.0961825433499851,0.0645633293885981
8,"Business As Usual","Western Asia",0.154014134927432,0.132446281668234,NA,0.116527720440076,0.135179198753368
9,"Business As Usual","Africa",0.168005434516931,0.175633013601776,0.141040028223881,0.138156928851612,0.0570455719548858
9,"Business As Usual","East Asia",0.0935908564337708,0.142019606433865,0.0468800519789459,0.144250607237116,0.0265538468872211
9,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.0632184218771618
9,"Business As Usual","Latin America",0.050025606852097,0.107441757905834,0.00358205200623219,0.0738428646969649,0.000262910434879846
9,"Business As Usual","North America",0.0856896098457052,NA,0.0424539107479646,0.0703557795944043,0.0500643596188912
9,"Business As Usual","Oceania",0.137703488310303,0.201132520622684,0.111215695030456,0.216796844211721,0.0824365542978955
9,"Business As Usual","South Asia",0,0,0,0,0
9,"Business As Usual","Western and Central Europe",0.13659845983552,NA,NA,0.135757519633577,0.0984768611785405
9,"Business As Usual","Western Asia",0.148555950577219,0.201336015263667,NA,0.187532993198023,0.123854865098409
10,"Business As Usual","Africa",0.164709552462626,0.189745879946645,0.121327038826022,0.129095635033096,0.107003573542402
10,"Business As Usual","East Asia",0.0664809816011634,0.0755619224727348,0.0230348394225654,0.0458457171208751,0.0791502714846501
10,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.131324709631514
10,"Business As Usual","Latin America",0.0406636462230434,0.0993091813480353,0,0.0145243658163489,0.024485039743385
10,"Business As Usual","North America",0.0808319174493215,NA,0.00819193532231339,0.0259133704246171,0.0545328727665614
10,"Business As Usual","Oceania",0.193194780532962,0.192795439191507,0.0982710476994406,0.0741079016071736,0.1242703044093
10,"Business As Usual","South Asia",0,0,0.00753648050838872,0,0
10,"Business As Usual","Western and Central Europe",0.120572903798395,NA,NA,0.0549675904057453,0.115134189480117
10,"Business As Usual","Western Asia",0.168929917536685,0.178418862212657,NA,0.148240046815746,0.16473995259486
11,"Business As Usual","Africa",0.126044277130912,0.14589565605434,0.100334479720053,0.0807447799759158,0.108084099109529
11,"Business As Usual","East Asia",0.0693741544453277,0.0883323465242859,0.13317303475509,0.0520481034356293,0.0998646540939804
11,"Business As Usual","Eastern Europe and Central Asia",NA,NA,NA,NA,0.0684258366836476
11,"Business As Usual","Latin America",0.0301071212799852,0.0322416617491158,0,0,0
11,"Business As Usual","North America",0.0909363956487125,NA,0.026251120117637,0.0157836644953943,0.0677891150637266
11,"Business As Usual","Oceania",0.117493163787282,0.105589194154277,0.11367433861975,0.110042533401564,0.0688066606915825
