"Scenario","Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
"Business As Usual",1298,16625,1036,4460,4479,928,6401,1437,834
"Business As Usual",1659,12866,982,5083,4437,814,7379,1483,735
"Business As Usual",1199,14464,1082,4997,4333,1025,5856,1466,669
"Business As Usual",1577,16068,932,4814,4595,1060,6504,1784,594
"Business As Usual",1336,14732,1050,4653,4338,921,7294,1810,655
"Business As Usual",1474,14541,955,5351,4356,1059,6981,1487,662
"Business As Usual",1269,13436,969,5140,3941,840,7161,1347,744
"Business As Usual",1264,14285,981,4871,4875,922,7774,1674,905
"Business As Usual",1417,15120,907,4726,5186,897,7966,1572,659
"Business As Usual",1266,14385,973,4379,4651,848,7327,1551,838
"Business As Usual",1144,15045,1053,5016,4857,1046,6546,1339,762
"Business As Usual",1282,14528,986,5034,4300,958,7645,1597,611
"Business As Usual",1312,14481,958,3964,4091,687,8038,1449,824
"Business As Usual",1429,15552,1038,4177,4199,911,8883,1940,793
"Business As Usual",1484,13702,944,4665,4529,852,6378,1557,708
"Business As Usual",1580,15547,1002,4161,4617,796,7533,1614,670
"Business As Usual",958,16891,1050,5235,3601,950,7788,1639,876
"Business As Usual",1432,15872,965,4569,4381,1044,7817,1548,536
"Business As Usual",1142,15425,1106,4618,3995,869,7391,1382,778
"Business As Usual",1223,13121,1052,4720,4714,1032,8153,1758,958
"Business As Usual",1398,13034,1045,4483,3885,760,6771,1563,702
"Business As Usual",1349,14777,1021,3615,3852,989,7209,1299,756
"Business As Usual",1109,15876,1017,5215,4319,863,7373,1650,616
"Business As Usual",1101,15595,936,3499,4281,781,7669,1677,468
"Business As Usual",1271,13986,1018,4083,4719,915,8286,1698,493
"Business As Usual",1361,16406,1019,4279,3364,970,7426,1706,792
"Business As Usual",1089,15704,956,5235,4841,706,7486,1416,786
"Business As Usual",1389,15381,1092,5144,4514,973,7872,1534,473
"Business As Usual",1195,16618,1119,4063,4133,1245,6525,1898,728
"Business As Usual",1320,15381,1083,4018,4545,1169,6588,1663,689
"Business As Usual",1177,13644,1023,4949,4878,796,7654,1599,623
