"Scenario","China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
"Business As Usual",4193,1545,4123,1729,2728
"Business As Usual",3164,1460,4057,1666,2784
"Business As Usual",3012,1284,3918,1841,1985
"Business As Usual",3987,378,4324,1960,2759
"Business As Usual",3696,1416,4334,1985,2511
"Business As Usual",4123,1350,4816,1740,2517
"Business As Usual",3541,1056,4152,1899,2626
"Business As Usual",3633,1404,4213,2159,2831
"Business As Usual",4035,1522,4658,2161,3075
"Business As Usual",3827,1313,3402,1739,2501
"Business As Usual",3286,643,4466,1835,2610
"Business As Usual",4222,1522,4200,1312,2954
"Business As Usual",3349,1191,4237,1554,2604
"Business As Usual",3810,1262,4237,1752,2419
"Business As Usual",3634,1029,4010,1236,2728
"Business As Usual",3701,668,4197,1332,2716
"Business As Usual",3989,1297,3662,2146,2916
"Business As Usual",4004,1753,4262,954,3139
"Business As Usual",3510,1105,3852,2838,2803
"Business As Usual",3152,642,4039,2105,2615
"Business As Usual",3530,955,3851,1590,2535
"Business As Usual",3451,1387,4555,1496,2472
"Business As Usual",4063,1152,3573,1819,2939
"Business As Usual",3386,1090,3296,2063,2701
"Business As Usual",3943,1341,4378,1968,2409
"Business As Usual",4585,1130,3697,2064,2599
"Business As Usual",4186,1662,4710,1917,1863
"Business As Usual",2902,1040,4564,959,3383
"Business As Usual",4057,964,3525,1773,2828
"Business As Usual",3993,1363,4334,2009,2517
"Business As Usual",3556,1113,5033,1629,2510
"Business As Usual",3641,2121,3980,2096,2344
"Business As Usual",2718,628,4128,1886,2494
"Business As Usual",3714,266,3902,2442,2455
"Business As Usual",3971,1371,3934,2066,3587
"Business As Usual",3556,1089,3854,898,2033
"Business As Usual",2810,1389,4397,1747,2565
"Business As Usual",4059,449,4126,2000,2714
"Business As Usual",3782,1262,5009,1153,2807
"Business As Usual",3397,1179,4168,868,1599
"Business As Usual",3997,1882,4539,1715,2789
"Business As Usual",3965,1158,4076,1609,2715
"Business As Usual",2762,1062,4329,1687,2820
"Business As Usual",3083,1338,3838,1712,2578
"Business As Usual",4126,1283,4129,1440,2421
"Business As Usual",3612,1521,3741,1848,2936
"Business As Usual",3592,1360,4208,2094,2649
"Business As Usual",3632,1489,4015,2130,3063
"Business As Usual",3800,668,4007,1795,2748
"Business As Usual",3729,1380,4214,2162,2535
"Business As Usual",3462,1286,4373,1659,2710
"Business As Usual",3291,886,4137,1764,3461
"Business As Usual",4090,1192,4597,2381,2570
"Business As Usual",3726,1144,4657,2059,3332
"Business As Usual",4277,1440,5093,2382,2892
"Business As Usual",3020,1082,4142,1245,2670
