"Producer","Region","mean","sd","q05","q10","q25","q50","q75","q90","q95","quartile_dispersion"
"China (export)","Africa",0.173570866420695,0.0443154879307049,0.1030264741075,0.116790181213163,0.144911040139045,0.171749753889402,0.202302363160991,0.230577585458397,0.246650791937295,0.165291208451284
"China (export)","East Asia",0.0732338072368769,0.0491648740333963,0,0.000485361894164082,0.034061907858834,0.0718454927307274,0.109746504516029,0.138374438017252,0.150729745527766,0.526287686563906
"China (export)","Latin America",0.0701274895864499,0.0376305905526194,0.00786908421111967,0.0223090115841021,0.0433162591281407,0.0688985684750442,0.0953775936105849,0.118632738141142,0.130443958409913,0.375368723663034
"China (export)","North America",0.0986941240083524,0.0422587782848174,0.0306723812403679,0.043405823597447,0.070446159525767,0.0979163851022656,0.12637886278524,0.154010407775121,0.169583713633274,0.284174758893676
"China (export)","Oceania",0.169478363306451,0.0448353170978001,0.0996047768527972,0.113471774468541,0.140152854952464,0.166314581505108,0.199481279849019,0.22960076362281,0.243180819963884,0.174683339562534
"China (export)","South Asia",0.00410259137431851,0.0146959526957707,0,0,0,0,0,0.0120468555313244,0.0316513752053673,NA
"China (export)","Western and Central Europe",0.149795144668145,0.0445687236895082,0.0802845171966021,0.0938237980602112,0.120007335610063,0.148720506084425,0.179009709501574,0.209182589515602,0.225139554720876,0.197321105455651
"China (export)","Western Asia",0.181868691935994,0.0452302893194247,0.110163762828176,0.123288767320744,0.152365180110478,0.180225612725697,0.211714076371888,0.239851817701557,0.256618406586087,0.163010924694865
"Maaden","Africa",0.152680804252802,0.0453149866730275,0.0811649909423629,0.0980260277073045,0.121144089468805,0.1501356880621,0.181467906466906,0.212633874355479,0.230621926347147,0.199343772911489
"Maaden","East Asia",0.0774960074166082,0.0503846853086386,0,0.00066342272941978,0.0388402257748375,0.0765592887915464,0.112963672712227,0.143052200133986,0.162680544308596,0.488284211908468
"Maaden","Latin America",0.0627036191993874,0.0379353908644524,0,0.0125748164451449,0.0356094946909706,0.0598128997545046,0.0888530196779404,0.113983661548555,0.12902567058105,0.427787637562537
"Maaden","Oceania",0.154854423223548,0.0470614595506961,0.0836390901140269,0.0957676869045322,0.121300694192552,0.15333167262026,0.184999807622303,0.215292319464774,0.236597917306606,0.207962811201187
"Maaden","South Asia",0.00335351782415348,0.0116269259114414,0,0,0,0,0,0.00918191214628796,0.0233594693764201,NA
"Maaden","Western Asia",0.161741212406751,0.0450906646898966,0.0940469334980311,0.107596068019084,0.130534325269856,0.161013962522459,0.192294109468306,0.218821252068585,0.235299364505196,0.191308377926939
"Mosaic","Africa",0.155440060873449,0.0377809462661917,0.0964418697859063,0.11202973169698,0.130542176590875,0.152838964431628,0.178924149791777,0.205247595529739,0.2194622812201,0.156340024992179
"Mosaic","East Asia",0.0739639194133773,0.0482293538273753,0,0.00531283896234582,0.0377592642694157,0.0721863764531936,0.106463632368165,0.141133478231402,0.156888886822644,0.47637628768057
"Mosaic","Latin America",0.0280900156382952,0.0286638052851668,0,0,0.000740335028667272,0.0207892960423712,0.0461018232312872,0.0668049713881956,0.0836108568554282,0.968390225550295
"Mosaic","North America",0.0299774644957197,0.0298589515329298,0,0,0.00192417884434233,0.0230529537283332,0.0470471788963597,0.0711275496931981,0.0919318152410186,0.921416152905923
"Mosaic","Oceania",0.151586440729148,0.0386881494244914,0.0942822121007605,0.108373717433792,0.125004005308908,0.147632704534595,0.175760196297572,0.20118307148771,0.216913521476978,0.168757420988131
"Mosaic","South Asia",0.0189942392225802,0.0261670113899559,0,0,0,0.00588618477132075,0.0307309106734098,0.0555570798398981,0.0746917187179829,1
"OCP","Africa",0.129777787442152,0.039135437141116,0.0771366762024308,0.0874400263704492,0.10463015232978,0.123238667809506,0.151753052516972,0.181705740586652,0.202707293398005,0.183798701694827
"OCP","East Asia",0.055668636079578,0.0444589471597002,0,0,0.0149222268363121,0.0525961045349541,0.0861943304653035,0.11599832547258,0.131539061815726,0.704850971304307
"OCP","Latin America",0.0255012958038512,0.0312334835130804,0,0,0,0.0142851059728442,0.0407766381496008,0.0686649255660788,0.0855536493383406,1
"OCP","North America",0.0589443375287085,0.0363750010124018,0,0.0141698971859176,0.0338017295867541,0.0548052592224579,0.0815471001318629,0.106405624195491,0.121924536125052,0.413921586041048
"OCP","Oceania",0.132823962967614,0.0401564684294681,0.0768533152734416,0.0872565453277697,0.106538986153412,0.128231893028997,0.156960260400019,0.183769438366387,0.203775574122992,0.191352631577195
"OCP","South Asia",0.0193202496325822,0.0272346409385492,0,0,0,0.00548867441994644,0.0321565826615235,0.0561015120485815,0.0768132489100706,1
"OCP","Western and Central Europe",0.102614414797361,0.0382512266953634,0.0497702693377526,0.0617755120086705,0.0763682600580971,0.0977933444566599,0.124118017704563,0.154841164779037,0.173562693666241,0.238169705075741
