"Producer","Region","mean","sd","q05","q10","q25","q50","q75","q90","q95","quartile_dispersion"
"China (export)","Africa",0.166865500718445,0.044596754045085,0.102645152423493,0.113497532691114,0.1361627453807,0.16434605333896,0.19423499301879,0.22638874028129,0.242635258696812,0.175764664490149
"China (export)","East Asia",0.0640700499674261,0.0487223392667017,0,0,0.0239631323789762,0.0582775415432033,0.0989147657074199,0.127988203543338,0.149289552245799,0.609968387282673
"China (export)","Latin America",0.063337101448389,0.0372454746089549,0.00113496490804463,0.0164853843779258,0.0375646780538306,0.0601972347927155,0.0874657027267959,0.113561200679925,0.131050877608042,0.399111194906458
"China (export)","North America",0.0816120345589988,0.0407842807810542,0.0184244955811191,0.0298797650722998,0.0506798049840443,0.0806335755285088,0.108575609635972,0.135783048578133,0.150965725885608,0.363540572796643
"China (export)","Oceania",0.160706618693,0.0434045810316687,0.0919266587807743,0.10657663913682,0.132755161877906,0.158168310157222,0.18816562916884,0.216831606761189,0.234305293134348,0.172660883422985
"China (export)","South Asia",0.00623894158863983,0.0171290949191273,0,0,0,0,0,0.0238820685370178,0.0427766834791147,NA
"China (export)","Western and Central Europe",0.140751675159238,0.0436076263029548,0.0700293458490394,0.0861605154371094,0.111542027802482,0.139532389530701,0.170612846984158,0.196904648042776,0.214289654923627,0.209356011397443
"China (export)","Western Asia",0.175746232556445,0.0448197758553226,0.105166794625374,0.11891104229925,0.144099199486247,0.175267082606372,0.204114218703872,0.233626639529336,0.249439901584144,0.172351253807392
"Maaden","Africa",0.143848110747441,0.042358182576728,0.0804686044230288,0.0922159672366608,0.113711512444124,0.141402001091249,0.171547580708001,0.199727165872841,0.215578839188011,0.2027492537566
"Maaden","East Asia",0.0661396062718931,0.0488362457175738,0,0,0.0263471018752517,0.0656548528235117,0.098460354083258,0.131021087689835,0.150361322056577,0.577796027121803
"Maaden","Latin America",0.0540361190657669,0.0353049426098452,0,0.0063735464189913,0.0279079185206289,0.0514402567390645,0.0771693299764808,0.101859912365925,0.11445838982145,0.468811395049109
"Maaden","Oceania",0.144441632215709,0.0415838479010177,0.0831142054061562,0.0953496390262149,0.11429314291197,0.141349705342582,0.170496865125257,0.201738504212948,0.217668628081497,0.197351454149123
"Maaden","South Asia",0.00568421858730388,0.0158890225854286,0,0,0,0,0,0.0213882088700287,0.0373520725905192,NA
"Maaden","Western Asia",0.153926566168689,0.0419317686673901,0.0893347951894196,0.103182291441773,0.124855590968044,0.15167290466105,0.180023845358964,0.209042638569098,0.224051724795894,0.180951050866374
"Mosaic","Africa",0.156279323244828,0.0365064520853255,0.104209126041273,0.114313256636268,0.131758105634938,0.151793997537573,0.176749992821297,0.207630285533372,0.221397549442378,0.145836972875257
"Mosaic","East Asia",0.0696370092302416,0.0480858536665287,0,0,0.0325397338330468,0.0666030642129976,0.102341284307746,0.134436073416192,0.153353027383445,0.517504623236448
"Mosaic","Latin America",0.0270250200610258,0.0277265662570326,0,0,0.00233787950519965,0.0198831331053918,0.0423059307617495,0.0641265474521836,0.083088786245374,0.895265234252174
"Mosaic","North America",0.0184821686653788,0.0253411174768658,0,0,0,0.00676214389171162,0.0295690920629641,0.0539762678697558,0.0685396272567383,1
"Mosaic","Oceania",0.150451209482955,0.0386175666109097,0.0955279449241558,0.107856198007312,0.126041311201331,0.144853689455767,0.174110005426802,0.200709220955816,0.224413341603989,0.16014820379757
"Mosaic","South Asia",0.0293174570543786,0.030888594028406,0,0,0,0.0205396932593731,0.0464209074318016,0.0726846265127832,0.0927521436287095,1
"OCP","Africa",0.127508688340478,0.0383601605849853,0.0744780734125759,0.0848416074714963,0.103632919543929,0.122843778799339,0.148387660047756,0.176520289371262,0.194041739245784,0.177583674223498
"OCP","East Asia",0.0500315726454897,0.043594001340415,0,0,0.00864471559576983,0.0451270778181409,0.0786054856280842,0.10966739552276,0.128335855272226,0.801840787195654
"OCP","Latin America",0.022105373144065,0.028926933584244,0,0,0,0.0108881025792354,0.0360439274817413,0.0614672368387637,0.0812263975749403,1
"OCP","North America",0.0428543173090726,0.0315649543011689,0,0.00127300268689058,0.0192334439607846,0.0381794615137266,0.061624872831185,0.0874995613576577,0.101309701982257,0.524268010419561
"OCP","Oceania",0.128546485932502,0.0392597443707364,0.0764691683542898,0.0877727411291854,0.103445986557724,0.12267649554784,0.149928478812471,0.177753446155522,0.200808743707687,0.183453735903626
"OCP","South Asia",0.026285387766151,0.0294730437392963,0,0,0,0.0186325174932703,0.0424986615969688,0.0658673328409828,0.0845952945738512,1
"OCP","Western and Central Europe",0.0960454250994897,0.0360216495414205,0.044303726702598,0.0569776241201946,0.0729723971142131,0.0920952947418535,0.115726990710652,0.142017917205288,0.157904874820954,0.226575157923246
"OCP","Western Asia",0.137890044102683,0.037765389328478,0.0837996565085922,0.0960855721987401,0.115391589169228,0.132401630218829,0.158644846245264,0.18446449721985,0.202034069198655,0.157837613858221
"PhosAgro/EuroChem","Africa",0.135948828906576,0.0374032080094975,0.0816199061574056,0.0966549311452999,0.111400394037568,0.132026793071888,0.157978543596006,0.18581975825291,0.199609250700469,0.172909396583173
"PhosAgro/EuroChem","East Asia",0.0548840857401733,0.0434658853856942,0,0,0.0169040836769383,0.0509173746467809,0.0825999797986531,0.114723249523729,0.132763017947804,0.660233299294658
"PhosAgro/EuroChem","Eastern Europe and Central Asia",0.112263052723622,0.0381357513631091,0.0566220673533668,0.0701447503056789,0.0875935939205979,0.107697198516952,0.134471940698396,0.164654274543783,0.178343223274354,0.211101406880763
"PhosAgro/EuroChem","Latin America",0.0248322029719601,0.0295856181422054,0,0,0,0.0155142660697042,0.0393723243788097,0.0665410671797003,0.0821230049426279,1
"PhosAgro/EuroChem","North America",0.0514416604490523,0.0347749196531106,0,0.00791604729186876,0.0267346945126778,0.0471753411469436,0.070636791738967,0.0986486934935407,0.115692297473411,0.450872210298091
"PhosAgro/EuroChem","Oceania",0.10029521781062,0.0386447933077614,0.0439214505795655,0.0569812801085226,0.0758495196740676,0.095045362452477,0.122264138832033,0.151039630881343,0.172126100097099,0.234282782459121
"PhosAgro/EuroChem","South Asia",0.0184750386528628,0.0260774296714042,0,0,0,0.00578340436012297,0.0293254243966093,0.0560104456724665,0.0738487007279343,1
"PhosAgro/EuroChem","Western and Central Europe",0.0957206666776343,0.0386785763187814,0.0410694174374533,0.0552851659558355,0.0706426135466561,0.0899844148650583,0.11557532691878,0.148126155550909,0.168477378321883,0.24129100160714
"PhosAgro/EuroChem","Western Asia",0.142694919135595,0.0392065160927178,0.0866853002062315,0.0988760270263265,0.117724047337092,0.138352287867335,0.163243352268496,0.193318189485758,0.21182198400415,0.162009204609866
