"Area Unit","Area Group","Wheat","Rice","Maize","Other Cereals","Soybean","Oil Palm","Other Oilseeds","Fibre Crops","Sugar Crops","Roots and Tubers","Fruits","Vegetables"
"Argentina",NA,9188339,1581810,33087165,7016901,53397715,0,3533640,1023921,21234460,2794672,7688378,3483108
"Australia",NA,25303037,819276,390364,11906949,80000,0,3964314,2136700,30517650,1246546,3017242,1897644
"Austria","EU-28",1804018,0,2334385,1581907,118132,0,272199,3939,4244219,750637,681224,690323
"Bangladesh",NA,1303000,51806593,2124000,7530,112024,0,741354,1409163,4508000,9209472,3879215,4686000
"Belarus",NA,2925079,0,599455,5509241,0,0,741935,48195,4803220,6279715,635152,1740274
"Belgium","EU-28",1994600,0,662700,505552,0,0,65500,72800,4790700,4380556,747834,2089694
"Brazil",NA,6261895,12175602,79881614,3083073,86760520,1393873,3618545,4484876,736108487,27716164,37769431,11713808
"Bulgaria","EU-28",5347078,54155,3137478,991710,736,0,2545849,400,0,132651,312337,398749
"Canada",NA,29442100,0,11606400,10635001,6044800,0,17537124,29658,580600,5643277,997128,2263186
"Chile",NA,1358128,134884,1186127,799613,0,0,242278,18641,1732032,1075687,6252093,2199918
"China",NA,126208400,206507400,215646300,9055200,12154000,678297,38719304,18799483,133611700,146481648,155980087,576840872
"Croatia","EU-28",648917,0,2046966,305594,131424,0,183563,0,1392000,160847,326347,1165534
"Cyprus","EU-28",4445,0,0,2917,0,0,17518,0,0,117085,163665,105080
"Czechia","EU-28",5442349,0,832235,2509024,16493,0,1627565,656,4424619,697539,244647,233589
"Denmark","EU-28",5153300,0,72900,4570178,0,0,709091,0,2672200,1733400,60008,296305
"Egypt",NA,8800000,5467392,8059906,996364,39872,0,814448,535356,27100652,5078005,11723766,19407972
"Estonia","EU-28",615500,0,0,606100,0,0,166544,0,0,117300,5098,66369
"Finland","EU-28",1088200,0,0,3042426,0,0,62100,0,626300,600300,21009,279470
"France","EU-28",38950202,83492,18343320,15202301,227262,0,7259044,520953,40394390,8120968,9089255,5257607
"Germany","EU-28",27784700,0,5142100,19083600,18000,0,6310626,0,29748100,11607300,2823890,3762542
"Greece","EU-28",1570416,229381,1864065,600094,7846,0,2800457,820275,455973,616277,3264578,2836838
"Hungary","EU-28",5261890,7910,9315100,2028480,115600,0,2324289,298,1066750,567430,1501190,1547033
"India",NA,95850000,157200000,24170000,18790000,10374000,0,29820603,20559704,352142000,55622310,88475974,127713701
"Indonesia",NA,0,70846465,19008426,0,954997,138701566,18940196,218882,25753920,27605158,17667215,11069374
"Iran",NA,10578699,2347291,1658875,2966181,142524,0,264581,183997,11319629,4988655,13119483,20612484
"Ireland","EU-28",717000,0,0,1882817,0,0,34200,0,85510,383000,35752,226892
"Italy","EU-28",7141926,1386100,9239545,1629272,933140,0,2352625,2062,3784435,1372163,15606219,13329853
"Japan",NA,852400,10549000,188,201379,231800,0,17892,1,4726000,3729300,3051911,10458204
"Latvia","EU-28",1467500,0,0,759700,0,0,186254,150,0,505688,13239,191366
"Lithuania","EU-28",3230600,0,115000,1777600,0,0,506000,4,1014400,468500,72105,234949
"Luxembourg","EU-28",77943,0,1672,88948,0,0,15705,0,0,18979,19696,2566
"Malaysia",NA,0,1834831,59188,0,0,95380438,783704,7573,9147,106928,1003652,1525541
"Malta","EU-28",11543,0,0,2164,0,0,60,0,0,12559,9826,84973
"Mexico",NA,3669814,232159,23273257,9351374,387366,678935,1501929,873960,56673680,1934759,17828725,13940489
"Morocco",NA,5115884,33051,97379,1691032,1000,0,1641970,1888,3487168,1967534,4303560,5510637
"Netherlands","EU-28",1304054,0,173066,223386,0,0,11967,23375,6821774,7100258,780020,4943865
"New Zealand",NA,413497,0,237165,447281,0,0,5002,3803,0,463205,1417706,956256
"Pakistan",NA,25979399,10504200,4936747,475465,63,0,1023784,6817690,62938458,3423015,6223146,5575776
"Philippines",NA,0,18967826,7770603,693,695,437439,14736538,73964,25029880,3318087,16211655,6541050
"Poland","EU-28",11628670,0,4468403,15848360,0,0,3325797,107,13488875,7689180,4262146,5876549
"Portugal","EU-28",98794,167322,896995,170147,0,0,495775,0,18675,575282,1827567,2359539
"Rest of Africa",NA,9745964,25247183,56720052,50772554,1487408,18634568,26095471,4405909,60657255,289541236,76527439,57232590
"Rest of East Asia",NA,746915,49835823,6355221,840098,826953,160000,3731343,558034,14074210,14105551,10581379,25068123
"Rest of Eastern Europe and Central Asia",NA,18532712,617883,3535914,4585979,329739,0,2054106,1548777,2021011,7889755,4522100,13060840
"Rest of Latin America",NA,2767701,13462637,16657198,2507940,16132664,14966438,2415077,430846,169310687,22712866,52269737,15486612
"Rest of North America",NA,0,0,0,0,0,0,0,0,0,0,0,46
"Rest of Oceania",NA,0,10586,19003,4916,0,2412706,2813336,423,2079895,2322086,2678148,663601
"Rest of South Asia",NA,1888319,8504668,2598876,363588,35423,0,3254341,15356,3958716,3488931,2739909,4498855
"Rest of Western and Central Europe",NA,4068291,30500,9443596,1984159,559299,0,790757,820,5477956,2227896,2811661,4127664
"Rest of Western Asia",NA,13712883,940028,989368,3851966,335,0,1027726,286938,195118,3411703,9627679,14558485
"Romania","EU-28",7584814,45159,11988553,2452210,202892,0,3258856,3203,1398570,3519329,2064772,3818832
"Russia",NA,59711382,1048566,11332138,31046416,2363562,0,10491616,88598,33513369,31501354,3508962,16893517
"Slovakia","EU-28",2072405,0,1814113,821138,83905,0,654763,101,1550218,178817,94508,110593
"Slovenia","EU-28",173245,0,350583,129283,1046,0,21224,0,0,107140,211090,74011
"South Africa",NA,1750000,3030,14250000,614849,948000,0,1048638,28202,17755537,2310064,6986475,2604848
"Spain","EU-28",6471400,861103,4776190,8472453,2650,0,5633829,226240,3723567,2578843,17738872,14183018
"Sweden","EU-28",3086400,0,0,2689000,0,0,333700,0,2056200,822100,44121,372158
"Thailand",NA,1303,32620160,4804670,336193,58295,12472505,1088807,91849,103697005,30485151,11208017,2742425
"Turkey",NA,1.9e+07,830000,5950000,6928005,150000,0,3735440,2350005,16743045,4166805,14302215,28276987
"UK","EU-28",16606009,0,0,7862832,0,0,2498829,14987,9310000,5911000,638480,2802695
"Ukraine",NA,24113970,50880,28496810,10726900,3881930,0,12472029,1610,15734050,23693350,2334190,10463443
"USA",NA,55147120,10079500,361091140,16531330,106877870,0,4856705,9791640,55981460,21399880,26303499,37956851
"Uzbekistan",NA,6955976,356097,411630,167287,0,0,83960,3420200,0,2452400,3931600,10983412
"Vietnam",NA,0,44974206,5202511,1661,156549,0,1869481,95389,19822851,11932937,7315884,15499181
