"Area Unit","Area Group","Wheat","Rice","Maize","Other Cereals","Soybean","Oil Palm","Other Oilseeds","Fibre Crops","Sugar Crops","Roots and Tubers","Fruits","Vegetables"
"Argentina",NA,129249.743097961,1514.6454269761,119152.10689812,60585.8170590442,201952.723496814,NA,13126.9270297929,302.929085295221,1009.76361798407,6563.46351489646,9087.87255885663,6563.46351489646
"Australia",NA,286132.726572901,1839.12611182582,4578.12362456641,125898.399688076,0,NA,50575.96806521,20601.5563080488,18174.6305482787,9156.24724913282,19310.8241681711,13793.4458386936
"Austria","EU-28",6562.95848444998,NA,11889.3190801052,4202.52852985563,643.728109685188,NA,1604.03839632642,35.4282689487319,2342.65112785701,1187.33017603336,1954.99273917813,1220.26580662635
"Bangladesh",NA,9995.05766062109,350216.825386723,31984.1845087875,0,9995.05766062109,NA,14992.5864894316,14992.5864894316,9995.05766062109,48535.99999816,36401.99999862,54602.99999793
"Belarus",NA,27080.6975406815,NA,31905.9854708029,53176.6424513382,NA,NA,15066.7153603792,2954.25791407435,7779.54584019578,2658.83212306691,135.89586400342,492.376319012391
"Belgium","EU-28",7256.28956755638,NA,3375.2152084535,1343.06043485842,NA,NA,385.984206258585,654.779888161382,2644.28832683341,6929.00340191594,2146.15169182316,3693.89710977651
"Brazil",NA,120917.544501501,84429.7766810482,571660.029607098,33996.7154004221,2693251.67503344,4408.09276105473,13271.2792701648,172935.639102147,296556.240503682,51234.0781406361,58157.2238207221,86044.8106710683
"Bulgaria","EU-28",19452.4948903591,290.320970849741,15979.5736559352,2634.59834765453,4.0106312322512,NA,15002.4046644155,3.59769169319441,NA,209.822504327659,896.352106174591,704.858117325442
"Canada",NA,240861.66752184,NA,59219.7449746855,103693.089754068,86102.7745342288,NA,310323.729115711,0,326.193419125169,7149.12071779186,5720.58357481203,3569.72179359546
"Chile",NA,23220,1548,8643,8643,NA,NA,774,258,1548,9030,10320,3870
"China",NA,1869529.19999828,1642919.59999849,1685408.89999845,113304.799999896,212446.499999805,2341.20175207724,524034.699999519,495708.499999545,311588.199999714,481545.399999558,2690988.99999753,2903435.49999734
"Croatia","EU-28",2360.73882347838,NA,10425.4576345061,811.84766459261,716.15923786329,NA,1081.7163183732,NA,768.332258532596,254.421906759775,936.558335367757,2060.28378984973
