FAO GAPS,FAOSTAT Crops
Growing of bananas,Bananas
Growing of barley,Barley
Growing of cassava,Cassava
Growing of citrus fruits,"Fruit, citrus nes"
Growing of citrus fruits,Grapefruit (inc. pomelos)
Growing of citrus fruits,Lemons and limes
Growing of citrus fruits,Oranges
Growing of citrus fruits,"Tangerines, mandarins, clementines, satsumas"
Growing of cocoa beans,"Cocoa, beans"
Growing of coconuts,Coconuts
"Growing of coffee, green","Coffee, green"
Growing of dried pulses,Bambara beans
Growing of dried pulses,"Beans, dry"
Growing of dried pulses,"Broad beans, horse beans, dry"
Growing of dried pulses,Chick peas
Growing of dried pulses,"Cow peas, dry"
Growing of dried pulses,Lentils
Growing of dried pulses,Lupins
Growing of dried pulses,"Peas, dry"
Growing of dried pulses,Pigeon peas
Growing of dried pulses,Pulses nes
Growing of dried pulses,Vetches
Growing of grain maize,Maize
Growing of groundnuts,"Groundnuts, with shell"
Growing of millet,Millet
Growing of natural rubber,"Rubber, natural"
Growing of oil palm fruit,Oil palm fruit
Growing of olives,Olives
Growing of other cereals,Buckwheat
Growing of other cereals,Canary seed
Growing of other cereals,Cereals nes
Growing of other cereals,Fonio
Growing of other cereals,"Grain, mixed"
Growing of other cereals,Oats
Growing of other cereals,Quinoa
Growing of other cereals,Rye
Growing of other cereals,Triticale
Growing of other crops,"Almonds, with shell"
Growing of other crops,Areca nuts
Growing of other crops,"Brazil nuts, with shell"
Growing of other crops,"Cashew nuts, with shell"
Growing of other crops,Chestnut
Growing of other crops,"Hazelnuts, with shell"
Growing of other crops,Kola nuts
Growing of other crops,Nuts nes
Growing of other crops,Pistachios
Growing of other crops,"Walnuts, with shell"
Growing of other crops,Sugar crops nes
Growing of other crops,"Anise, badian, fennel, coriander"
Growing of other crops,Cinnamon (cannella)
Growing of other crops,Cloves
Growing of other crops,Ginger
Growing of other crops,"Nutmeg, mace and cardamoms"
Growing of other crops,Pepper (piper spp.)
Growing of other crops,Spices nes
Growing of other crops,Vanilla
Growing of other crops,Chicory roots
Growing of other crops,Hops
Growing of other crops,Peppermint
Growing of other crops,"Chillies and peppers, dry"
Growing of other crops,"Pyrethrum, dried"
Growing of other fibre crops,Agave fibres nes
Growing of other fibre crops,"Bastfibres, other"
Growing of other fibre crops,Fibre crops nes
Growing of other fibre crops,Flax fibre and tow
Growing of other fibre crops,Hemp tow waste
Growing of other fibre crops,Jute
Growing of other fibre crops,Kapok fruit
Growing of other fibre crops,Manila fibre (abaca)
Growing of other fibre crops,Ramie
Growing of other fibre crops,Sisal
Growing of other fruits,Apples
Growing of other fruits,Apricots
Growing of other fruits,Avocados
Growing of other fruits,Berries nes
Growing of other fruits,Blueberries
Growing of other fruits,Carobs
Growing of other fruits,Cashewapple
Growing of other fruits,Cherries
Growing of other fruits,"Cherries, sour"
Growing of other fruits,Cranberries
Growing of other fruits,Currants
Growing of other fruits,Dates
Growing of other fruits,Figs
Growing of other fruits,"Fruit, fresh nes"
Growing of other fruits,"Fruit, pome nes"
Growing of other fruits,"Fruit, stone nes"
Growing of other fruits,"Fruit, tropical fresh nes"
Growing of other fruits,Gooseberries
Growing of other fruits,Grapes
Growing of other fruits,Kiwi fruit
Growing of other fruits,"Mangoes, mangosteens, guavas"
Growing of other fruits,Papayas
Growing of other fruits,Peaches and nectarines
Growing of other fruits,Pears
Growing of other fruits,Persimmons
Growing of other fruits,Pineapples
Growing of other fruits,Plums and sloes
Growing of other fruits,Quinces
Growing of other fruits,Raspberries
Growing of other fruits,Strawberries
Growing of other oilseeds,Castor oil seed
Growing of other oilseeds,Hempseed
Growing of other oilseeds,Jojoba seed
Growing of other oilseeds,Karite nuts (sheanuts)
Growing of other oilseeds,Linseed
Growing of other oilseeds,Melonseed
Growing of other oilseeds,Oilseeds nes
Growing of other oilseeds,Poppy seed
Growing of other oilseeds,Safflower seed
Growing of other oilseeds,Tallowtree seed
Growing of other oilseeds,Tung nuts
Growing of other roots and tubers,Roots and tubers nes
Growing of other roots and tubers,Taro (cocoyam)
Growing of other roots and tubers,Yautia (cocoyam)
Growing of other vegetables,Artichokes
Growing of other vegetables,Asparagus
Growing of other vegetables,"Beans, green"
Growing of other vegetables,Cabbages and other brassicas
Growing of other vegetables,Carrots and turnips
Growing of other vegetables,Cauliflowers and broccoli
Growing of other vegetables,"Chillies and peppers, green"
Growing of other vegetables,Cucumbers and gherkins
Growing of other vegetables,Eggplants (aubergines)
Growing of other vegetables,Garlic
Growing of other vegetables,"Leeks, other alliaceous vegetables"
Growing of other vegetables,Lettuce and chicory
Growing of other vegetables,"Maize, green"
Growing of other vegetables,Mushrooms and truffles
Growing of other vegetables,Okra
Growing of other vegetables,"Onions, dry"
Growing of other vegetables,"Onions, shallots, green"
Growing of other vegetables,"Peas, green"
Growing of other vegetables,"Pumpkins, squash and gourds"
Growing of other vegetables,Spinach
Growing of other vegetables,String beans
Growing of other vegetables,Tomatoes
Growing of other vegetables,"Vegetables, fresh nes"
Growing of other vegetables,"Vegetables, leguminous nes"
Growing of other vegetables,Watermelons
Growing of other vegetables,"Melons, other (inc.cantaloupes)"
Growing of paddy rice,"Rice, paddy"
Growing of plantains,Plantains and others
Growing of potatoes,Potatoes
Growing of rape and mustardseed,Rapeseed
Growing of rape and mustardseed,Mustard seed
Growing of raw cotton,Seed cotton
Growing of sesame seed,Sesame seed
Growing of sorghum,Sorghum
Growing of soybeans,Soybeans
Growing of sugar beet,Sugar beet
Growing of sugar cane,Sugar cane
Growing of sunflower seed,Sunflower seed
Growing of sweet potato and yams,Sweet potatoes
Growing of sweet potato and yams,Yams
Growing of tea,Tea
Growing of tea,Maté
Growing of tobacco,"Tobacco, unmanufactured"
Growing of wheat,Wheat
