FAOSTAT,Area Unit,Area Group
Afghanistan,Rest of Western Asia,NA
Albania,Rest of Western and Central Europe,NA
Algeria,Rest of Africa,NA
American Samoa,Rest of Oceania,NA
Angola,Rest of Africa,NA
Antigua and Barbuda,Rest of Latin America,NA
Argentina,Argentina,NA
Armenia,Rest of Eastern Europe and Central Asia,NA
Australia,Australia,NA
Austria,Austria,EU-28
Azerbaijan,Rest of Eastern Europe and Central Asia,NA
Bahamas,Rest of Latin America,NA
Bahrain,Rest of Western Asia,NA
Bangladesh,Bangladesh,NA
Barbados,Rest of Latin America,NA
Belarus,Belarus,NA
Belgium,Belgium,EU-28
Belize,Rest of Latin America,NA
Benin,Rest of Africa,NA
Bermuda,Rest of Latin America,NA
Bhutan,Rest of South Asia,NA
Bolivia (Plurinational State of),Rest of Latin America,NA
Bosnia and Herzegovina,Rest of Western and Central Europe,NA
Botswana,Rest of Africa,NA
Brazil,Brazil,NA
British Virgin Islands,Rest of Latin America,NA
Brunei Darussalam,Rest of East Asia,NA
Bulgaria,Bulgaria,EU-28
Burkina Faso,Rest of Africa,NA
Burundi,Rest of Africa,NA
Côte d'Ivoire,Rest of Africa,NA
Cabo Verde,Rest of Africa,NA
Cambodia,Rest of East Asia,NA
Cameroon,Rest of Africa,NA
Canada,Canada,NA
Cayman Islands,Rest of Latin America,NA
Central African Republic,Rest of Africa,NA
Chad,Rest of Africa,NA
Chile,Chile,NA
"China, Hong Kong SAR",Rest of East Asia,NA
"China, Macao SAR",Rest of East Asia,NA
"China, mainland",China,NA
"China, Taiwan Province of",Rest of East Asia,NA
Colombia,Rest of Latin America,NA
Comoros,Rest of Africa,NA
Congo,Rest of Africa,NA
Cook Islands,Rest of Oceania,NA
Costa Rica,Rest of Latin America,NA
Croatia,Croatia,EU-28
Cuba,Rest of Latin America,NA
Cyprus,Cyprus,EU-28
Czechia,Czechia,EU-28
Democratic People's Republic of Korea,Rest of East Asia,NA
Democratic Republic of the Congo,Rest of Africa,NA
Denmark,Denmark,EU-28
Djibouti,Rest of Africa,NA
Dominica,Rest of Latin America,NA
Dominican Republic,Rest of Latin America,NA
Ecuador,Rest of Latin America,NA
Egypt,Egypt,NA
El Salvador,Rest of Latin America,NA
Equatorial Guinea,Rest of Africa,NA
Eritrea,Rest of Africa,NA
Estonia,Estonia,EU-28
Eswatini,Rest of Africa,NA
Ethiopia,Rest of Africa,NA
Faroe Islands,Rest of Western and Central Europe,NA
