Region,Area Unit,Area Group,IFA Unit
Africa,Rest of Africa,NA,RoW
Africa,Egypt,NA,Egypt
Africa,Morocco,NA,Morocco
Africa,South Africa,NA,South Africa
East Asia,Rest of East Asia,NA,RoW
East Asia,China,NA,China
East Asia,Indonesia,NA,Indonesia
East Asia,Japan,NA,Japan
East Asia,Malaysia,NA,Malaysia
East Asia,Philippines,NA,Philippines
East Asia,Thailand,NA,Thailand
East Asia,Vietnam,NA,Vietnam
Eastern Europe and Central Asia,Rest of Eastern Europe and Central Asia,NA,RoW
Eastern Europe and Central Asia,Belarus,NA,Belarus
Eastern Europe and Central Asia,Estonia,EU-28,EU-28
Eastern Europe and Central Asia,Latvia,EU-28,EU-28
Eastern Europe and Central Asia,Lithuania,EU-28,EU-28
Eastern Europe and Central Asia,Russia,NA,Russia
Eastern Europe and Central Asia,Ukraine,NA,Ukraine
Eastern Europe and Central Asia,Uzbekistan,NA,Uzbekistan
Latin America,Rest of Latin America,NA,RoW
Latin America,Argentina,NA,Argentina
Latin America,Brazil,NA,Brazil
Latin America,Chile,NA,Chile
Latin America,Mexico,NA,Mexico
North America,Canada,NA,Canada
North America,Rest of North America,NA,RoW
North America,USA,NA,USA
Oceania,Rest of Oceania,NA,RoW
Oceania,Australia,NA,Australia
Oceania,New Zealand,NA,New Zealand
South Asia,Bangladesh,NA,Bangladesh
South Asia,Rest of South Asia,NA,RoW
South Asia,India,NA,India
South Asia,Pakistan,NA,Pakistan
Western and Central Europe,Rest of Western and Central Europe,NA,RoW
Western and Central Europe,Austria,EU-28,EU-28
Western and Central Europe,Belgium,EU-28,EU-28
Western and Central Europe,Bulgaria,EU-28,EU-28
Western and Central Europe,Croatia,EU-28,EU-28
Western and Central Europe,Czechia,EU-28,EU-28
Western and Central Europe,Denmark,EU-28,EU-28
Western and Central Europe,Finland,EU-28,EU-28
Western and Central Europe,France,EU-28,EU-28
Western and Central Europe,Germany,EU-28,EU-28
Western and Central Europe,Greece,EU-28,EU-28
Western and Central Europe,Hungary,EU-28,EU-28
Western and Central Europe,Ireland,EU-28,EU-28
Western and Central Europe,Italy,EU-28,EU-28
Western and Central Europe,Luxembourg,EU-28,EU-28
Western and Central Europe,Malta,EU-28,EU-28
Western and Central Europe,Netherlands,EU-28,EU-28
Western and Central Europe,Poland,EU-28,EU-28
Western and Central Europe,Portugal,EU-28,EU-28
Western and Central Europe,Romania,EU-28,EU-28
Western and Central Europe,Slovakia,EU-28,EU-28
Western and Central Europe,Slovenia,EU-28,EU-28
Western and Central Europe,Spain,EU-28,EU-28
Western and Central Europe,Sweden,EU-28,EU-28
Western Asia,Rest of Western Asia,NA,RoW
Western Asia,Cyprus,EU-28,EU-28
Western Asia,Iran,NA,Iran
Western Asia,Turkey,NA,Turkey
Western and Central Europe,UK,EU-28,EU-28
