"Scenario","Area Unit","Area Group","Wheat","Rice","Maize","Other Cereals","Soybean","Oil Palm","Other Oilseeds","Fibre Crops","Sugar Crops","Roots and Tubers","Fruits","Vegetables"
"Business As Usual","Argentina",NA,15224701.853,2126577.11,44950421.904,15003123.621,58278874.14,0,5423721.097,973859.34,29021160.592,3632012.286,10452796.427,4314031.227
"Stratified Societies","Argentina",NA,15440253.598,2220729.084,44652760.903,15084083.204,57262138.934,0,5405767.008,991366.408,26788347.94,3606706.038,10398922.416,3970431.72
"Business As Usual","Australia",NA,29618184.857,982594.452,533530.983,13667633.447,86112.943,0,4773186.129,2784578.221,29226302.926,1609726.803,4197872.843,2547001.659
"Stratified Societies","Australia",NA,32313819.49,1049778.952,555432.357,14772057.487,87964.288,0,5175302.838,2856752.956,30411496.166,1707457.879,4312026.713,2687174.117
"Business As Usual","Austria","EU-28",1966303.107,0,3046982.048,2242740.279,143530.506,0,367216.593,4235.767,4606239.059,1068432.794,1525049.778,977804
"Stratified Societies","Austria","EU-28",2169327.14,0,3361835.935,2450546.071,154703.583,0,371045.513,4206.451,5342686.66,1163158.177,1604614.425,1048050.972
"Business As Usual","Bangladesh",NA,1326908.344,60978500.425,1607389.431,12033.49,64419.222,0,506671.392,1657254.982,5713948.428,12026288.995,5060171.592,6544625.02
"Stratified Societies","Bangladesh",NA,1251719.004,61573561.893,1796417.232,13723.818,66106.064,0,402505.2,1701139.08,5047825.256,8277853.957,5096939.57,6255755.756
"Business As Usual","Belarus",NA,2583537.87,0,1706233.428,5714360.118,0,0,854692.683,57754.552,7074640.863,8697962.858,696552.308,2256887.565
"Stratified Societies","Belarus",NA,2812959.052,0,1877801.934,5916978.312,0,0,878699.852,58894.947,7727555.661,9287811.18,701768.893,2409176.041
"Business As Usual","Belgium","EU-28",2619799.604,0,1412427.301,661432.449,0,0,105017.756,109422.728,8816542.572,6199407.921,883106.285,4155270.904
"Stratified Societies","Belgium","EU-28",2911047.526,0,1509507.029,729383.87,0,0,106680.767,114384.642,9488120.02,6708835.912,892945.842,4273567.472
"Business As Usual","Brazil",NA,7132873.443,17669974.456,108038987.886,4608011.589,93860895.128,1753926.525,5092064.395,5773450.567,893121937.479,35304509.406,46119767.472,15066629.541
"Stratified Societies","Brazil",NA,7599347.112,17555807.608,117160366.336,4922518.849,97244304.336,1913925.296,5142016.18,5882980.314,862758889.236,36001624.568,46866848.979,15412402.548
"Business As Usual","Bulgaria","EU-28",5658187.094,62764.23,2982803.949,982520.04,644.496,0,2380515.754,508.563,0,253279.649,557111.291,631746.855
"Stratified Societies","Bulgaria","EU-28",6108116.477,68744.676,2894580.728,1038819.49,638.352,0,2368113.409,545.428,0,274932.995,578558.38,645825.639
"Business As Usual","Canada",NA,37660981.277,0,16986379.267,15989384.367,6913682.944,0,25400696.799,36220.731,911962.958,6289365.198,1088356.748,3500375.025
"Stratified Societies","Canada",NA,41533559.888,0,18093750.948,17541202.766,7575963.738,0,26325891.077,37048.464,985350.034,6936990.798,1134140.958,3699733.2
"Business As Usual","Chile",NA,2035927.39,192687,2435647.324,920972.829,0,0,269914.158,25921.235,3287528.499,2069256.298,10067390.099,3576972.555
"Stratified Societies","Chile",NA,2362982.222,228184.56,2798882.745,1031418.102,0,0,285620.519,29257.668,3901898.352,2419065.905,11155131.091,4077848.7
"Business As Usual","China",NA,149313239.859,248100744.225,258868570.632,8536904.422,16225685.328,929798.769,50655246.29,30957133.491,202671762.853,231950375.961,181286388.749,692391850.567
"Stratified Societies","China",NA,155859934.5,251279126.774,269594217.768,9287687.394,16551352.392,891460.187,52770946.914,31792963.627,220805036.743,242089341.576,187227840.184,717606832.326
"Business As Usual","Croatia","EU-28",978607.7,0,1990583.392,388112.749,137125.21,0,223930.296,0,1329943.761,213186.008,486484.248,273762.107
"Stratified Societies","Croatia","EU-28",1101235.992,0,2183699.376,424061.986,138083.452,0,236585.28,0,1372496.199,232653.25,508256.612,290764.917
"Business As Usual","Czechia","EU-28",5392003.449,0,1217113.95,2807312.007,19756.692,0,1594596.799,933.6,5322905.668,1074066.106,313663.844,289805.775
"Stratified Societies","Czechia","EU-28",5874866.2,0,1371597.17,3041536.19,20259.586,0,1687752.392,985.604,6029654.787,1213021.268,316180.818,312739.051
"Business As Usual","Denmark","EU-28",5040514.544,0,83053.93,5316078.622,0,0,563735.202,0,3190287.393,2210851.404,80121.69,375689.42
"Stratified Societies","Denmark","EU-28",6035941.263,0,94589.125,6229364.763,0,0,660699.906,0,3629173.82,2547361.763,83584.085,403755.277
"Business As Usual","Egypt",NA,10721963.785,6200978.202,9420821.78,1212896.066,35268.036,0,905490.628,425250.953,27469558.032,6015687.744,12955517.111,24017147.016
"Stratified Societies","Egypt",NA,10005213.85,6233820.1,9007454.868,1176428.707,32719.804,0,866712.421,410855.295,28513980.044,5574463.409,12325030.726,23309853.22
"Business As Usual","Estonia","EU-28",447342.76,0,0,564360.714,0,0,167429.904,91.403,0,183355.665,7113.028,100773.792
"Stratified Societies","Estonia","EU-28",561553.125,0,0,659495.408,0,0,196692.952,96.232,0,203708.288,7172.18,109072.521
"Business As Usual","Finland","EU-28",1078117.55,0,0,3553795.586,0,0,108370.54,0,685229.402,835190.353,24652.336,348511.55
"Stratified Societies","Finland","EU-28",1245415.818,0,0,4061555.654,0,0,115696.012,0,743788.904,915616.485,24887.746,353566.876
"Business As Usual","France","EU-28",44005609.634,145542.474,20418761.621,16250342.509,133237.194,0,7785576.648,96493.19,45894155.217,9626435.164,10563202.886,7194059.139
"Stratified Societies","France","EU-28",49638685.018,167355,21537005.367,18138592.879,130870.446,0,8461920.296,98269.458,49854999.55,10683365.845,11220455.9,7916379.805
"Business As Usual","Germany","EU-28",30396724.251,0,7306798.077,22511329.758,7885.878,0,6473940.851,0,38860710.36,16572618.463,3392650.726,5486534.77
"Stratified Societies","Germany","EU-28",33719039.392,0,7932009.843,24860525.557,7787.34,0,6558845.586,0,42471111.33,18063959.684,3441997.396,5844313.939
"Business As Usual","Greece","EU-28",2400760.301,285421.64,3278792.496,684290.473,5798.3,0,2680068.446,1411447.2,721623.723,1285556.326,4482121.341,5457353.628
"Stratified Societies","Greece","EU-28",2773360.527,341136.136,3836068.587,757034.452,6545.58,0,2682325.419,1633627.584,827058.722,1506709.305,4857264.083,6144385.42
"Business As Usual","Hungary","EU-28",4518921.202,11605.508,7425098.408,1779164.413,95942.672,0,1996361.082,577.979,1080286.35,680699.118,1329472.274,1686240.582
"Stratified Societies","Hungary","EU-28",4809914.65,13224.126,8034201.975,1870072.023,90539.73,0,2067232.432,575.266,1127644.79,721222.026,1385301.622,1794728.035
"Business As Usual","India",NA,124183576.06,210582418.311,33092992.779,25174496.184,16624834.368,0,34086496.948,29453696.758,444922103.615,67040799.086,119420976.638,164298542.46
"Stratified Societies","India",NA,114108252.876,208719480.452,33815808.272,26707847.896,17270758.913,0,33190295.277,28307595.96,407411438.206,63781414.017,114701153.862,152307947.345
"Business As Usual","Indonesia",NA,0,79347457.453,24890954.218,0,1072826.028,151849027.788,25676641.543,8538.518,36834902.489,39915504.472,23584762.512,13977386.593
"Stratified Societies","Indonesia",NA,0,77732579.647,25898053.154,0,1023176.511,153337069.524,25811568.732,8235.836,33615439.176,39490722.921,23907893.391,13754227.025
"Business As Usual","Iran",NA,11373066.82,2573792.419,2406898.025,3223178.017,220310.598,0,583071.781,222010.14,11711474.249,6145300.908,15558901.379,28586223.092
"Stratified Societies","Iran",NA,10985250.039,2537444.139,2365632.984,3125434.606,209292.907,0,599197.233,219149.83,11768141.896,5787494.377,15026515.16,27287585.733
"Business As Usual","Ireland","EU-28",813052.884,0,0,1875107.776,0,0,62308.728,0,0,438735.168,66132.435,298612.56
"Stratified Societies","Ireland","EU-28",900974.182,0,0,2065781.592,0,0,64611.72,0,0,490838.4,66681.693,295217.088
"Business As Usual","Italy","EU-28",9236250.71,1887315.584,12264845.612,2021980.819,585611.92,0,4897409.778,1944.604,3990077.24,2171170.628,20682279.191,20276898.26
"Stratified Societies","Italy","EU-28",10944468.314,2310745.5,14781546.529,2301543.695,580136.728,0,4912100.606,2137.828,4711131.842,2589530.814,22839359.401,23504367.004
"Business As Usual","Japan",NA,907012.431,12804698.374,220.662,252629.921,228333.54,0,24649.371,0,6312243.828,4930710.079,3471487.499,13865569.869
"Stratified Societies","Japan",NA,990913.718,14893800.48,246.123,269439.409,219555.909,0,25710.384,0,7786583.536,5541170.825,3670757,14730072.016
"Business As Usual","Latvia","EU-28",1409847.842,0,0,600832.767,0,0,303674.198,912.568,0,645786.531,18455.97,197011.368
"Stratified Societies","Latvia","EU-28",1575541.716,0,0,644058.184,0,0,315872.599,908.292,0,689205.531,18609.45,214491.072
"Business As Usual","Lithuania","EU-28",2761129.708,0,110669.774,1646180.368,0,0,604416.45,13.034,1175957.133,673314.565,84086.373,381303.153
"Stratified Societies","Lithuania","EU-28",3061779.792,0,120024,1741732.172,0,0,598185.141,12.208,1237079.916,702926.263,84796.288,400753.665
"Business As Usual","Malaysia",NA,0,3477941.085,113369.76,0,0,134926899.232,1012408.056,0,257790.261,145041.501,1113733.2,1657590.064
"Stratified Societies","Malaysia",NA,0,3528346.327,115334.208,0,0,136917526.89,1033339.8,0,238665.081,145173.934,1131862.756,1698423.712
"Business As Usual","Mexico",NA,4861565.414,252855.815,32450443.137,10802743.818,308694.125,640845.972,1694190.914,911472.554,67539174.928,2632902.647,22363801.555,17964329.044
"Stratified Societies","Mexico",NA,4744302.9,250017.985,33682850.343,10741576.816,281225.56,630787.788,2105830.573,858921.542,64234167.849,2498297.384,21793801.469,17100418.29
"Business As Usual","Morocco",NA,6887905.499,46640.93,189760.191,2378710.57,1259.6,0,1607461.753,2207.08,3524918.916,2351601.821,4606713.247,7375490.252
"Stratified Societies","Morocco",NA,6765327.206,48185.82,185679.692,2363108.443,1207.696,0,1558516.573,2095.766,3741973.33,2319867.857,4537671.359,7203280.833
"Business As Usual","Netherlands","EU-28",1515725.988,0,265851.968,280596.486,0,0,15103.616,27001.484,7736954.85,9691245.208,882133.899,6729653.63
"Stratified Societies","Netherlands","EU-28",1712339.924,0,312265.843,312428.6,0,0,15619.826,29025.526,9336761.658,11623680.939,944751.744,7652003.472
"Business As Usual","New Zealand",NA,523954.92,0,269507.736,545485.211,0,0,7253.559,3265.641,0,747143.313,1800978.627,1365069.088
"Stratified Societies","New Zealand",NA,597510.04,0,294541.872,594713.776,0,0,7788.098,3477.115,0,823771.631,1927270.331,1545891.476
"Business As Usual","Pakistan",NA,32473327.101,10276178.394,8763219.238,653387.08,109.8,0,1542725.049,8615388.632,71497927.553,5564033.514,8236663.557,6934402.105
"Stratified Societies","Pakistan",NA,29759393.298,9619769.808,8099003.081,582272.544,96.6,0,1429698.425,7876016.585,65102423.542,5117893.624,7353327.428,6263866.61
"Business As Usual","Philippines",NA,0,22710503.999,10110150.684,895.089,941.184,740289.18,19628382.22,79693.428,38896123.765,4169135.51,19338430.671,7746771.848
"Stratified Societies","Philippines",NA,0,22077640.528,10467272.034,796.384,850.128,744879.24,19330634.683,81306.29,36944100.224,4095464.004,19308596.761,7478396.765
"Business As Usual","Poland","EU-28",10845138.398,0,4534345.915,19169201.551,1172.451,0,2513447.982,616.946,15883968.144,11642443.241,4883150.125,7835714.037
"Stratified Societies","Poland","EU-28",11756119.963,0,5028911.298,20219476.533,1184.95,0,2567831.889,624.288,17564741.384,12607235.964,4922736.896,8206098.051
"Business As Usual","Portugal","EU-28",83844.807,227646.96,1244703.982,144977.946,0,0,632426.955,0,45346.892,698166.151,2033775.871,3778656.402
"Stratified Societies","Portugal","EU-28",95325.835,266674.338,1451534.352,159761.506,0,0,646726.799,0,46586.588,789602.147,2194012.447,4132596.48
"Business As Usual","Rest of Africa",NA,14346031.822,38244359.768,90519252.231,94035570.762,1648923.829,23845958.609,27998045.157,4613963.091,71386377.142,351626268.602,119942031.304,91488692.914
"Stratified Societies","Rest of Africa",NA,14219352.922,38450648.389,90160054.967,95407029.015,1619329.596,24151514.217,27725553.784,4657485.59,65123378.698,356282247.634,119441254.338,89236679.385
"Business As Usual","Rest of East Asia",NA,1643399.321,65525680.76,9325810.54,1453498.478,1134219.308,2669862.82,8947566.653,898048.962,23846540.002,22351904.942,18477976.646,35039991.974
"Stratified Societies","Rest of East Asia",NA,1690755.579,66655788.209,9318183.492,1520967.06,1149782.813,2593429.636,8808171.262,884961.883,24280481.901,21797364.066,18983373.818,36235414.478
"Business As Usual","Rest of Eastern Europe and Central Asia",NA,26329743.852,866531.345,4910279.532,6430338.091,312818.722,0,2360850.197,1764125.383,2296432.272,11874517.903,6453252.298,17516552.848
"Stratified Societies","Rest of Eastern Europe and Central Asia",NA,26813065.754,862346.302,4954795.906,6347636.598,338626.59,0,2281200.817,1692761.278,2306069.629,11740496.508,6594341.859,16776290.973
"Business As Usual","Rest of Latin America",NA,4355337.416,19230683.322,25326768.603,3599248.173,15195052.976,16959791.37,2997756.992,710277.276,186918568.612,28329215.851,59472882.369,18599887.003
"Stratified Societies","Rest of Latin America",NA,4599742.369,18519974.933,25318216.715,3644070.381,15142021.172,16898375.305,2894577.486,673710.372,169476787.958,27672791.859,57936503.477,17462107.632
"Business As Usual","Rest of South Asia",NA,2871284.532,10770338.904,3769013.605,494066.816,55679.925,0,3139881.659,19191.859,4879856.454,3720294.951,3599400.395,6269021.374
"Stratified Societies","Rest of South Asia",NA,2567954.439,10298552.889,3568712.157,486062.189,55069.523,0,2958808.819,17846.102,4522904.726,3759158.31,3448084.627,6041051.672
"Business As Usual","Rest of Western and Central Europe",NA,4163887.164,0,10525921.284,2418332.094,575297.305,0,850105.918,1188.982,4659649.195,2771433.757,3787945.831,4820599.99
"Stratified Societies","Rest of Western and Central Europe",NA,4431226.443,0,11119776.197,2569188.627,599101.576,0,890586.28,1132.324,4622406.462,2958128.065,3928752.372,4966495.641
"Business As Usual","Rest of Western Asia",NA,17483869.082,1114653.384,1851983.528,3775300.368,1405.434,0,1859695.914,559381.116,1380646.531,4585347.749,12394216.908,20960830.452
"Stratified Societies","Rest of Western Asia",NA,16961559.314,1072865.256,1798882.501,3706323.887,1430.342,0,1785682.054,576894.392,1404222.896,4576576.996,12496902.793,20820596.36
"Business As Usual","Romania","EU-28",7815645.318,65574.96,12459771.424,2341211.01,161885.172,0,2736212.167,4239.666,1004908.569,4287297.233,2720642.016,5134265.194
"Stratified Societies","Romania","EU-28",8113651.602,67400.82,13326303.34,2431614.671,168930.198,0,2828026.784,4274.912,1015431.764,4626693.498,2814628.582,5204119.671
"Business As Usual","Russia",NA,66924614.956,1441629.216,13184229.57,31919415.413,2931412.707,0,14606391.78,135073.545,69006922.647,43304565.343,4510513.723,21785507.721
"Stratified Societies","Russia",NA,71345636.858,1599151.773,14667061.805,34248771.864,3411259.28,0,15433542.294,137052.628,72785175.067,45708426.28,4741201.603,22616684.967
"Business As Usual","Slovakia","EU-28",1838907.289,0,1647772.325,757775.739,48860.805,0,619738.185,0,1395105.874,262131.301,149866.656,208293.927
"Stratified Societies","Slovakia","EU-28",2032686.84,0,1831204.732,826812.315,47529.84,0,650333.714,0,1544683.76,290118.019,156019.66,225440.073
"Business As Usual","South Africa",NA,3323332.582,6890.4,18736061.695,1062033.281,988096.566,0,1000868.326,44543.821,22276415.588,3118247.39,11829505.207,5796017.888
"Stratified Societies","South Africa",NA,3316586.847,6229.514,18640987.677,1054656.016,996155.224,0,1014213.009,41744.816,21282651.072,2889920.103,11564449.967,5460752.948
"Business As Usual","Spain","EU-28",7878253.987,1065644.004,6175785.522,11963186.05,1635.27,0,10569885.881,219750.936,4685501.516,3307761.474,20065680.505,17998609.308
"Stratified Societies","Spain","EU-28",8180746.885,1141990.554,6335243.813,12457513.348,1625.64,0,10884432.937,224480.645,5283950.242,3395804.612,20608529.436,18094696.674
"Business As Usual","Sweden","EU-28",2485034.345,0,0,3321915.008,0,0,411257.924,0,3064357.66,1116038.79,57967.667,524055.268
"Stratified Societies","Sweden","EU-28",2988214.504,0,0,3900536.526,0,0,436826.251,0,3429237.736,1279903.153,59143.535,552666.136
"Business As Usual","Thailand",NA,1489.857,44065520.28,7163666.825,505016.923,217196.246,15284458.686,1695599.81,81667.113,121554679.565,38750431.578,12188663.966,4649952.704
"Stratified Societies","Thailand",NA,1104.56,44471313.251,7478313.398,511197.555,211285.962,15407238.56,1659915.349,82104.41,113644824.802,36750462.974,12133220.901,4425495.612
"Business As Usual","Turkey",NA,27480608.349,1417535.754,7645254.603,10756441.564,181679.507,0,4386025.977,3221390.954,22401130.193,6344503.419,19454885.702,39532538.823
"Stratified Societies","Turkey",NA,26918024.233,1440977.79,7677656.071,10585721.091,173428.112,0,4257548.558,3195743.015,22144152.282,6133206.535,19583415.3,38463584.655
"Business As Usual","UK","EU-28",15477228.5,0,0,8172884.509,0,0,2844694.801,19447.12,10286914.371,7559665.605,474364.872,3441884.516
"Stratified Societies","UK","EU-28",17218612.488,0,0,9065212.333,0,0,3053767.48,18912.63,10756294.786,8223041.942,477831.648,3426955.653
"Business As Usual","Ukraine",NA,24038324.931,239579.769,41530027.649,13638110.423,3905063.68,0,16374455.408,2912.861,26692832.14,32918303.315,3559754.622,13877698.05
"Stratified Societies","Ukraine",NA,25065183.898,250598.13,40920237.104,14088369.664,3771500.094,0,16291876.032,2893.244,28267176.246,33543421.57,3736513.16,14779641.35
"Business As Usual","USA",NA,69234302.188,10820936.055,400423399.415,15647289.863,114942291.216,0,5912928.361,11276310.066,73652809.373,28428435.38,36783695.433,49131246.893
"Stratified Societies","USA",NA,77295829.096,12873555.788,468039924.126,17115929.038,120922290.845,0,6153710.045,12621631.447,98254973.745,30240272.977,38671001.151,50684369.832
"Business As Usual","Uzbekistan",NA,7755103.212,351052.296,423789.171,199147.429,0,0,84236.189,3836337.169,0,2521515.96,4168265.21,11258359.221
"Stratified Societies","Uzbekistan",NA,7420458.78,343030.464,400886.928,185515.325,0,0,79681.547,3714235.14,0,2509546.662,4064818.47,10564140.394
"Business As Usual","Vietnam",NA,0,56964550.153,7046688.016,2667.21,225473.022,0,2198966.161,113276.104,24187486.467,14804152.362,7863079.509,15474913.974
"Stratified Societies","Vietnam",NA,0,55156902.332,6976659.395,2542.236,227766.286,0,2165564.67,104682.349,22855306.986,14738430.839,7503049.91,15020054.816
