Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","2","Afghanistan","5510","Production","221","Almonds, with shell","2018","2018","tonnes","34413","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","711","Anise, badian, fennel, coriander","2018","2018","tonnes","18143","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","515","Apples","2018","2018","tonnes","217192","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","526","Apricots","2018","2018","tonnes","18510","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2018","2018","tonnes","56781","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","558","Berries nes","2018","2018","tonnes","21776","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","569","Figs","2018","2018","tonnes","6073","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","512","Fruit, citrus nes","2018","2018","tonnes","2802","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","619","Fruit, fresh nes","2018","2018","tonnes","63702","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","541","Fruit, stone nes","2018","2018","tonnes","52171","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2018","2018","tonnes","984081","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","333","Linseed","2018","2018","tonnes","1486","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","56","Maize","2018","2018","tonnes","106670","","Official data",""
"QC","Crops","2","Afghanistan","5510","Production","568","Melons, other (inc.cantaloupes)","2018","2018","tonnes","329241","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","79","Millet","2018","2018","tonnes","11640","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","234","Nuts nes","2018","2018","tonnes","1448","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","260","Olives","2018","2018","tonnes","7770","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","403","Onions, dry","2018","2018","tonnes","150651","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","490","Oranges","2018","2018","tonnes","4707","Im","FAO data based on imputation methodology",""
"QC","Crops","2","Afghanistan","5510","Production","534","Peaches and nectarines","2018","2018","tonnes","47935","","Official data",""
