Area,Wheat,Rice,Maize,Other Cereals,Soybean,Oil Palm,Other Oilseeds,Fibre Crops,Sugar Crops,Roots and Tubers,Fruits,Vegetables,Grass,Residual
Argentina,129249.7431,1514.645427,119152.1069,60585.81706,201952.7235,0,13126.92703,302.9290853,1009.763618,6563.463515,9087.872559,6563.463515,20195.27235,20195.27235
Australia,286132.7266,1839.126112,4578.123625,125898.3997,0,0,50575.96807,20601.55631,18174.63055,9156.24725,19310.82417,13793.44584,320468.6538,48070.29806
Bangladesh,9995.057661,350216.8254,31984.18451,0,9995.057661,0,14992.58649,14992.58649,9995.057661,48536,36402,54603,0,24987.64415
Belarus,27080.69754,0,31905.98547,53176.64245,0,0,15066.71536,2954.257914,7779.54584,2658.832123,135.895864,492.376319,886.2773742,8862.773742
Brazil,120917.5445,84429.77668,571660.0296,33996.7154,2693251.675,4408.092761,13271.27927,172935.6391,296556.2405,51234.07814,58157.22382,86044.81067,40910.8609,524326.0336
Canada,241881.1878,0,59470.41056,104132.0023,86467.23072,0,311637.2687,0,327.574132,7179.381546,5744.797685,3584.831727,0,128575.3148
Chile,23220,1548,8643,8643,0,0,774,258,1548,9030,10320,3870,41796,19350
China,2013488.4,1769429.2,1815190.3,122029.6,228805.5,2521.481114,564386.9,533879.5,335581.4,518625.8,2898203,3127008.5,610148,714402.4189
Egypt,26144.44444,10055.55556,24776.88889,8044.444444,362,0,6033.333333,7038.888889,20111.11111,15083.33333,20111.11111,33183.33333,0,10055.55556
EU-28,580594,15414,400764,258257.6677,10276,0,261054.3006,15414,74501,97622,182399,120743,259469,292492.0316
India,1274649.2,1683268.8,292742.4,347631.6,268347.2,0,420817.2,487904,353730.4,67086.8,134173.6,219556.8,0,548892
Indonesia,0,399210,133070,0,19960.5,505666,19960.5,2661.4,19960.5,33267.5,46574.5,66535,0,83834.1
Iran,55500,8700,8400,8700,1500,0,7650,2700,5700,7500,19500,12000,6075,6075
Japan,34897.73995,115089.6517,0,4486.669598,11058.83676,0,0,0,13580.1633,28780.54666,23110.80888,69051.77287,16532.3065,41911.50375
Malaysia,0,41276.27119,695.8,0,0,247638.738,0,0,695.8,347.9,20987.9345,13991.95633,0,22265.6
Mexico,10656.78677,2748.268263,139419.5787,6008.937666,5673.660775,4515.25876,1711.183843,5766.804098,34373.30779,3668,74937.10398,44372.44282,0,32948.66657
Morocco,82460,248.7098926,7740.940738,27125,0,0,8680,0,7595,6510,34720,26040,0,15880.34937
New Zealand,7134,0,3567,7134,0,0,356.7,713.4,0,1426.8,8917.5,7134,319246.5,1070.1
Pakistan,448500,117000,39000,5084.745763,0,0,9750,175500,43875,9750,39000,19500,0,68040.25424
Philippines,0,71442,19845,0,0,1984.5,0,0,13230,2910.6,14553,2646,0,5688.9
Russia,215495,6157,61570,80041,16623.9,0,67727,615.7,70805.5,16623.9,1231.4,6157,11082.6,61570
South Africa,8821.331746,0,94194.65343,3571.750703,8223.43175,0,12540.03456,386,17698.33823,8993.611976,8981.93196,9733.346294,13383.35115,6472.218193
Thailand,0,243375.3,34839,1493.1,1493.1,34839,2488.5,995.4,49770,24387.3,44295.3,34839,0,24885
Turkey,245186,4561.6,39914,68424,1710.6,0,31361,15395.4,16934.94,10263.6,45616,37063,0,53769.86
Ukraine,40641,427.8,47058,21390,12834,0,53475,0,12834,6417,2139,4278,4278,8128.2
USA,563031.4842,48223.03366,2044168.012,142450.3503,745672.004,0,26890.07711,89362.36959,58157.47074,69415.7625,26537.5572,71184.11106,167630.9916,172079.4611
Uzbekistan,38400,1800,1440,2160,0,0,1080,48000,0,3480,7200,8400,2400,5640
Vietnam,0,448000,52500,0,5250,0,21000,490,19250,7000,30800,44800,0,70910
RoW,215187.4556,335787.0187,302681.2563,146611.2335,139517.1416,70940.91944,125328.9577,130058.3523,167893.5093,68576.22213,227010.9422,383080.965,0,52023.34092
