"Year","Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
2007,986700,13228800,979600,5449500,4509600,1372500,6434100,3318700,1305100
2008,924800,11569700,1086900,4482200,3420000,1119400,7295500,1913100,1014300
2009,971200,14127500,1112300,4838300,4348800,978900,8491300,2388000,1229800
2010,1118700,15422400,1111000,5158100,4613200,1165900,9241700,2560800,1184400
2011,1190600,15964200,1240500,5857100,4744600,1220200,9159400,2454300,986200
2012,1243000,17346900,1250800,6186900,5119600,1114100,7987900,2682200,939100
2013,1573300,17064700,1166100,6888400,5226000,1175500,7174400,2731900,1007600
2014,1467600,17757800,1170900,7119700,5025000,1277600,7800900,2638900,902800
2015,1652700,17678700,1258300,6416700,5327400,1283200,8731000,2690900,915700
2016,1593500,16262100,1595900,7373800,5434900,1205600,8676400,2776200,1064200
2017,1761000,16014200,1755800,7548300,6130600,1159700,8869900,2785800,1197400
