"Id","Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
"Business As Usual",1920852.63826284,20344198.7612051,1292337.0486019,7840610.48021272,5364057.81571692,696997.977952728,9336613.55800753,2353758.398369,1247359.19876426
"Stratified Societies",1893451.62649524,20941572.5512943,1349016.72846939,7994775.22667087,6003062.22621796,753453.317756114,9006466.73308435,2555679.81060945,1230181.08465266
"2007",985680.958112029,13377382.3509208,711008.081257277,4945395.43849723,4006153.53243714,311192.534097632,6256518.90959138,1694438.06970239,977211.699651851
"2008",1113511.73977943,14120938.5107759,884348.731692488,5183092.36754108,4138867.70647954,416321.32770624,6247969.64803473,1923808.31969308,861619.82438209
"2009",1232201.40714323,14256170.338251,818591.4615889,4799589.02418389,4217508.38021101,512059.097094068,6062214.41927432,1889288.75555947,933966.898058067
"2010",1221458.39252292,14579335.5782721,681619.716495137,5447681.27878389,4090598.83636679,503759.937815005,6514967.64338416,1814475.40753731,1025656.442306
"2011",1254744.3036302,15252061.3310589,953664.141718106,5858051.68057549,3976994.14622597,584057.522089657,6953759.22309672,1903276.64733113,1056995.14771892
"2012",1267646.88417324,15798578.3811293,854486.693738389,5618539.60163218,3898895.54205772,647707.153693865,6987877.29291133,1751828.85890593,939423.00818226
"2013",1356449.57008094,16024432.843592,967979.970828857,6179302.49468895,4551002.83158834,563756.680594942,7116057.37870638,1923406.69484904,944122.339027438
"2014",1396367.32751614,16260383.1514866,998279.663449548,6397322.35298494,4568899.62587863,588348.848174911,7152719.30161135,2051501.72727981,824447.324565001
"2015",1437117.22111736,16866861.7248544,978200.959609566,6886828.09507847,4577407.11150812,565939.638817777,6803431.41442853,1933208.39107709,872017.693719991
"2016",1281256.95062811,16742476.1947467,1187684.40309694,6703739.34738313,5134631.16997119,544681.252906732,7142895.37104598,1906333.27487502,860701.982207524
"2017",1501716.83711661,17102905.2381215,1209907.4087955,7546665.1939507,4916152.4344141,728635.974040515,7400965.39148761,1961810.72277967,873570.173246704
"2018",1516373.6489598,17153895.6278306,1149686.23253777,7554613.82052061,4942437.72728819,547460.708396482,7469764.25218227,1915407.36183032,848245.090207492
